epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.81093264,0.2726535,0.17308092,0.078373715,20.0,-3.2163289,0.0,100.0,0.0
1,0.8100716,0.27176836,0.17343819,0.07875499,40.0,-5.4326034,0.0,200.0,0.0
2,0.8079089,0.27254757,0.1729735,0.07880404,60.0,-7.523196,0.0,300.0,0.0
3,0.80897033,0.27256417,0.17306902,0.07900517,80.0,-9.641977,0.0,400.0,0.0
4,0.8094103,0.2722669,0.17315838,0.07877426,100.0,-11.773928,0.0,500.0,0.0
5,0.8099834,0.27247578,0.17322801,0.079205096,120.0,-13.720591,0.0,600.0,0.0
6,0.8103614,0.27113953,0.1732741,0.07868955,140.0,-15.603014,0.0,700.0,0.0
7,0.81127274,0.2722889,0.17344609,0.07943409,160.0,-17.577942,0.0,800.0,0.0
8,0.81153727,0.27164456,0.17349637,0.07947679,180.0,-19.453043,0.0,900.0,0.0
9,0.81209576,0.271202,0.17362623,0.079473235,200.0,-21.101706,0.0,1000.0,0.0
10,0.81214744,0.27162614,0.17366444,0.08004637,220.0,-22.768642,0.0,1100.0,0.0
11,0.8123859,0.2724917,0.17367329,0.08135053,240.0,-24.477488,0.0,1200.0,0.0
12,0.81310385,0.27408376,0.17383835,0.08321285,260.0,-25.77705,0.0,1300.0,0.0009999999776482583
13,0.8142907,0.27617553,0.17414115,0.085797854,280.0,-27.35735,0.0,1400.0,0.0
14,0.8156878,0.27865583,0.17456424,0.088963404,300.0,-28.825205,0.0,1500.0,0.0009999999776482583
15,0.8174389,0.28059158,0.17499006,0.09198073,320.0,-30.266674,0.0,1600.0,0.0009999999776482583
16,0.81909925,0.28468922,0.17543413,0.0962774,340.0,-31.141367,0.0,1700.0,0.0
17,0.8216491,0.29058108,0.17622402,0.10210456,360.0,-32.603874,0.005000000074505806,1800.0,0.0009999999776482583
18,0.8240986,0.2958857,0.17692791,0.10791002,380.0,-33.700275,0.0,1900.0,0.0009999999776482583
19,0.8278197,0.30225816,0.1778899,0.115171865,400.0,-34.56489,0.0,2000.0,0.0019999999552965165
20,0.8314079,0.3092498,0.17878744,0.12141453,420.0,-34.681763,0.0,2100.0,0.0
21,0.83460236,0.31242222,0.17962205,0.12574582,440.0,-35.27802,0.0,2200.0,0.0019999999552965165
22,0.8364442,0.31377938,0.18005142,0.12784423,460.0,-36.1017,0.0,2300.0,0.0009999999776482583
23,0.83738726,0.3148463,0.1802027,0.12902541,480.0,-37.916756,0.0,2400.0,0.0019999999552965165
24,0.8381084,0.31571636,0.18032925,0.13020991,500.0,-38.011826,0.005000000074505806,2500.0,0.003999999910593033
25,0.8398498,0.3165805,0.18072379,0.1321186,520.0,-39.013905,0.005000000074505806,2600.0,0.0019999999552965165
26,0.8402141,0.31737274,0.18079409,0.13291298,540.0,-39.49043,0.0,2700.0,0.0009999999776482583
27,0.83957654,0.31737718,0.18068661,0.13295124,560.0,-40.341785,0.0,2800.0,0.0009999999776482583
28,0.83932954,0.3174554,0.18054466,0.13314375,580.0,-41.36521,0.005000000074505806,2900.0,0.0009999999776482583
29,0.84045476,0.31870547,0.18077838,0.13434845,600.0,-42.01414,0.0,3000.0,0.0019999999552965165
30,0.84192574,0.31990296,0.18118213,0.1362472,620.0,-42.809193,0.005000000074505806,3100.0,0.0019999999552965165
31,0.8441,0.321214,0.18171841,0.13837342,640.0,-42.99598,0.005000000074505806,3200.0,0.0029999999329447745
32,0.84616584,0.32170773,0.18223387,0.14005846,660.0,-43.47888,0.005000000074505806,3300.0,0.0029999999329447745
33,0.84910697,0.32322538,0.18290763,0.14309126,680.0,-43.579105,0.0,3400.0,0.007999999821186066
34,0.8530251,0.32555684,0.18386376,0.14697185,700.0,-43.000397,0.0,3500.0,0.0029999999329447745
35,0.8570444,0.32854906,0.18464851,0.15109004,720.0,-43.690834,0.010000000149011612,3600.0,0.003999999910593033
36,0.86081684,0.3318652,0.18548313,0.15532783,740.0,-42.03771,0.010000000149011612,3700.0,0.004999999888241291
37,0.86406004,0.33434686,0.18615444,0.15893959,760.0,-42.239162,0.0,3800.0,0.006999999843537807
38,0.86735,0.33610296,0.1869388,0.16212036,780.0,-43.890858,0.0,3900.0,0.005999999865889549
39,0.8696707,0.33667544,0.18757915,0.1641048,800.0,-39.06195,0.0,4000.0,0.008999999798834323
40,0.8726595,0.33728072,0.18823506,0.16630329,820.0,-41.33152,0.0,4100.0,0.006999999843537807
41,0.87550914,0.33770815,0.18895796,0.16849042,840.0,-40.992657,0.0,4200.0,0.008999999798834323
42,0.87874126,0.33848312,0.18972702,0.17088692,860.0,-38.066628,0.010000000149011612,4300.0,0.009999999590218068
43,0.88241273,0.33933076,0.19070725,0.17358631,880.0,-38.649223,0.010000000149011612,4400.0,0.005999999865889549
44,0.8863557,0.34041324,0.19160809,0.17653938,900.0,-35.436146,0.010000000149011612,4500.0,0.016999999
45,0.8902957,0.3414396,0.1926227,0.1794375,920.0,-36.997097,0.015000000223517418,4600.0,0.012999999523162841
46,0.8943106,0.34282485,0.19364515,0.1823526,940.0,-35.491272,0.005000000074505806,4700.0,0.00799999963492155
47,0.89834577,0.34447646,0.19466977,0.18509781,960.0,-36.618374,0.005000000074505806,4800.0,0.009999999776482582
48,0.9021327,0.3456885,0.19555452,0.18746501,980.0,-35.159832,0.020000000298023225,4900.0,0.0139999995008111
49,0.9040284,0.3460697,0.1959757,0.18850052,1000.0,-40.079166,0.005000000074505806,5000.0,0.010999999754130841
