# {"env_id": "FetchToss-v14", "t_start": 1585762288.440189} 
r,l,t
-50.0,50,7.327901
-50.0,50,10.12668
-50.0,50,12.653931
-50.0,50,15.188596
-50.0,50,17.766678
-50.0,50,20.315889
-50.0,50,22.814461
-50.0,50,25.255769
-50.0,50,27.537945
-50.0,50,29.756975
-50.0,50,32.003222
-50.0,50,34.209503
-50.0,50,36.467552
-50.0,50,38.732278
-50.0,50,40.979396
-50.0,50,43.192419
-50.0,50,45.439624
-50.0,50,47.701741
-50.0,50,49.95747
-50.0,50,52.194663
-50.0,50,54.446939
-50.0,50,56.683014
-50.0,50,58.89352
-50.0,50,61.15068
-50.0,50,63.377548
-50.0,50,65.617164
-50.0,50,67.891573
-50.0,50,70.112051
-50.0,50,72.359159
-50.0,50,74.596712
-50.0,50,76.800807
-50.0,50,79.078768
-50.0,50,81.296765
-50.0,50,83.578329
-50.0,50,85.843677
-50.0,50,88.087839
-50.0,50,90.315151
-50.0,50,92.562001
-50.0,50,94.796647
-50.0,50,97.030815
-50.0,50,99.29244
-50.0,50,101.519807
-50.0,50,103.781402
-50.0,50,106.050828
-50.0,50,108.303506
-50.0,50,110.530667
-50.0,50,112.765821
-50.0,50,115.032291
-50.0,50,117.264628
-50.0,50,119.499786
-50.0,50,121.748512
-50.0,50,122.103003
-50.0,50,122.46468
-50.0,50,122.823636
-50.0,50,123.154118
-50.0,50,123.510204
-50.0,50,123.867291
-50.0,50,124.213635
-50.0,50,124.566764
-50.0,50,124.933467
-50.0,50,125.464065
-50.0,50,127.730832
-50.0,50,129.958791
-50.0,50,132.185759
-50.0,50,134.434643
-50.0,50,136.682069
-50.0,50,138.93906
-50.0,50,141.170917
-50.0,50,143.429487
-50.0,50,145.656021
-50.0,50,147.857454
-50.0,50,150.124799
-50.0,50,152.365491
-50.0,50,154.598504
-50.0,50,156.850448
-50.0,50,159.100952
-50.0,50,161.350643
-50.0,50,163.540849
-50.0,50,165.805082
-50.0,50,168.076229
-50.0,50,170.309352
-50.0,50,172.544104
-50.0,50,174.819241
-50.0,50,177.078321
-50.0,50,179.331265
-50.0,50,181.583752
-50.0,50,183.810842
-50.0,50,186.05554
-50.0,50,188.30354
-50.0,50,190.547751
-50.0,50,192.808082
-50.0,50,195.051376
-50.0,50,197.292135
-50.0,50,199.532747
-50.0,50,201.756371
-50.0,50,203.984245
-50.0,50,206.20753
-50.0,50,208.422848
-50.0,50,210.737134
-50.0,50,212.994995
-50.0,50,215.22654
-50.0,50,217.443827
-50.0,50,219.70872
-50.0,50,221.982059
-50.0,50,224.201849
-50.0,50,226.420399
-50.0,50,228.664761
-50.0,50,230.943617
-50.0,50,233.178259
-50.0,50,235.419379
0.0,50,237.631644
-50.0,50,237.966964
-50.0,50,238.29887
-50.0,50,238.670548
-50.0,50,239.028893
-50.0,50,239.370532
-50.0,50,239.724549
-50.0,50,240.063867
-50.0,50,240.399183
-50.0,50,240.7343
-21.0,50,241.228232
-50.0,50,243.469772
-50.0,50,245.701964
-50.0,50,247.97964
-50.0,50,250.2113
-50.0,50,252.461178
-50.0,50,254.689844
-50.0,50,256.980933
-50.0,50,259.221517
-50.0,50,261.486811
-50.0,50,263.71395
-50.0,50,265.980363
-50.0,50,268.196181
-50.0,50,270.420388
-50.0,50,272.687497
-50.0,50,274.948146
-50.0,50,277.131077
-50.0,50,279.341229
-50.0,50,281.594046
0.0,50,283.840878
-50.0,50,286.047403
-50.0,50,288.283122
-50.0,50,290.452656
-50.0,50,292.697976
-50.0,50,294.910848
-50.0,50,297.126731
-29.0,50,299.353153
-50.0,50,301.594666
-46.0,50,303.79672
-50.0,50,305.969222
-50.0,50,308.254832
-50.0,50,310.481138
-50.0,50,312.657434
-50.0,50,314.916596
-50.0,50,317.084804
-17.0,50,319.339428
-50.0,50,321.53501
-50.0,50,323.751335
-27.0,50,325.966002
-50.0,50,328.166191
-50.0,50,330.424405
-50.0,50,332.684662
-50.0,50,334.854923
-50.0,50,337.07995
-50.0,50,339.328875
-50.0,50,341.513727
-50.0,50,343.75923
-50.0,50,345.988414
-50.0,50,348.218577
-50.0,50,350.436804
-50.0,50,352.629653
-50.0,50,353.013432
-50.0,50,353.372172
-50.0,50,353.742045
-50.0,50,354.12735
-50.0,50,354.513333
0.0,50,354.850548
-50.0,50,355.239238
-50.0,50,355.58928
-50.0,50,355.915764
-50.0,50,356.267248
-50.0,50,358.478565
-50.0,50,360.689161
-50.0,50,362.953757
-50.0,50,365.160269
-50.0,50,367.414633
-6.0,50,369.645035
-50.0,50,371.849085
-50.0,50,374.069634
-50.0,50,376.307028
-50.0,50,378.504387
-50.0,50,380.709098
-50.0,50,382.919823
-50.0,50,385.112038
0.0,50,387.31236
-50.0,50,389.539898
-50.0,50,391.778464
-50.0,50,394.001725
-50.0,50,396.239336
-50.0,50,398.48384
-50.0,50,400.757068
-50.0,50,403.02003
-50.0,50,405.198097
-50.0,50,407.411421
-50.0,50,409.659863
-50.0,50,411.852773
-50.0,50,414.124249
-50.0,50,416.300747
-50.0,50,418.514024
-50.0,50,420.724076
-50.0,50,422.931656
-50.0,50,425.147619
-50.0,50,427.406732
-50.0,50,429.604523
-13.0,50,431.842111
-50.0,50,434.055751
-50.0,50,436.274687
-50.0,50,438.486429
-50.0,50,440.717147
-50.0,50,442.915424
-8.0,50,445.142118
-50.0,50,447.434236
-50.0,50,449.719437
-50.0,50,452.302199
-50.0,50,454.580483
-50.0,50,456.884341
-50.0,50,459.155633
-48.0,50,461.393152
-50.0,50,463.581744
-46.0,50,465.785843
-50.0,50,467.997161
-50.0,50,468.336889
0.0,50,468.742218
0.0,50,469.079708
0.0,50,469.438808
-50.0,50,469.815654
-50.0,50,470.203649
-50.0,50,470.558911
-50.0,50,470.959395
-50.0,50,471.285777
-50.0,50,471.641359
-50.0,50,473.854733
-50.0,50,476.077933
-50.0,50,478.281109
-50.0,50,480.468961
-50.0,50,482.717208
-50.0,50,484.956809
-50.0,50,487.131834
-50.0,50,489.357581
-50.0,50,491.530282
-50.0,50,493.739327
-50.0,50,495.939353
-50.0,50,498.128983
-50.0,50,500.384944
-50.0,50,502.598548
-50.0,50,504.774498
-13.0,50,507.00132
-50.0,50,509.201158
-50.0,50,511.387419
-50.0,50,513.587353
-50.0,50,515.794078
-50.0,50,518.001525
-50.0,50,520.199195
-50.0,50,522.410558
-50.0,50,524.615161
-49.0,50,526.823353
-50.0,50,529.03832
-50.0,50,531.237592
-50.0,50,533.454669
-50.0,50,535.631527
-50.0,50,537.823898
-50.0,50,540.03269
-50.0,50,542.239906
-23.0,50,544.459557
-49.0,50,546.701975
-50.0,50,548.890424
-50.0,50,551.076277
-50.0,50,553.293762
-50.0,50,555.484458
-50.0,50,557.723196
-50.0,50,559.934511
-50.0,50,562.132154
-50.0,50,564.351114
-50.0,50,566.515569
-50.0,50,568.744652
-50.0,50,570.929979
-50.0,50,573.13617
-50.0,50,575.362792
-50.0,50,577.551954
-27.0,50,579.782762
-12.0,50,581.996306
-50.0,50,582.338095
-50.0,50,582.692791
-50.0,50,583.052939
-50.0,50,583.371761
-50.0,50,583.736434
-50.0,50,584.089914
-50.0,50,584.453367
-50.0,50,584.791883
-50.0,50,585.152475
-50.0,50,585.662445
-50.0,50,587.891469
-50.0,50,590.064156
-50.0,50,592.26229
-50.0,50,594.478545
-50.0,50,596.725562
-50.0,50,598.947591
-50.0,50,601.160655
-50.0,50,603.410282
-50.0,50,605.606
-50.0,50,607.840511
-50.0,50,610.037745
-50.0,50,612.245446
-50.0,50,614.463262
-50.0,50,616.660921
-50.0,50,618.888509
-50.0,50,621.063669
-50.0,50,623.259212
-50.0,50,625.46474
-50.0,50,627.659562
-50.0,50,629.884629
-50.0,50,632.09807
-50.0,50,634.32911
-50.0,50,636.534564
-50.0,50,638.746425
-50.0,50,640.938555
-50.0,50,643.135687
-50.0,50,645.363
-50.0,50,647.533959
-50.0,50,649.76878
-50.0,50,651.968167
-50.0,50,654.168074
-50.0,50,656.357522
-45.0,50,658.572053
-50.0,50,660.783583
-50.0,50,663.032275
-50.0,50,665.22013
-50.0,50,667.416462
-50.0,50,669.631644
-5.0,50,671.850821
-50.0,50,674.065674
-50.0,50,676.287512
-50.0,50,678.501511
-50.0,50,680.754177
-49.0,50,682.979127
-50.0,50,685.156146
-50.0,50,687.396458
-50.0,50,689.595668
0.0,50,691.818887
-37.0,50,694.021383
-50.0,50,696.263703
-50.0,50,696.631831
-50.0,50,696.968701
-50.0,50,697.320823
-50.0,50,697.662949
-50.0,50,697.987125
-50.0,50,698.348533
-50.0,50,698.703376
-50.0,50,699.049731
-50.0,50,699.390586
-50.0,50,699.88309
-50.0,50,702.134252
-50.0,50,704.317537
-50.0,50,706.548471
-50.0,50,708.762234
-36.0,50,710.983678
-50.0,50,713.218723
-50.0,50,715.432853
-50.0,50,717.647072
-50.0,50,719.876284
-8.0,50,722.077698
-50.0,50,724.303174
-50.0,50,726.523407
-50.0,50,728.725877
-50.0,50,730.949193
-29.0,50,733.143933
-22.0,50,735.374625
-50.0,50,737.578213
-50.0,50,739.817052
-50.0,50,742.003638
