# {"t_start": 1580777378.2953434, "env_id": "FetchToss-v1"} 
r,l,t
-50.0,50,8.052426
-50.0,50,10.952208
-50.0,50,13.525255
-50.0,50,16.053817
-50.0,50,18.647189
-50.0,50,21.216789
-50.0,50,23.732598
-50.0,50,26.315417
-50.0,50,28.888436
-50.0,50,31.463823
-50.0,50,34.017396
-50.0,50,36.518695
-50.0,50,39.076628
-50.0,50,41.613772
-50.0,50,44.194045
-50.0,50,46.730594
-50.0,50,49.289668
-50.0,50,51.84778
-50.0,50,54.411473
-50.0,50,56.947153
-50.0,50,59.523048
-50.0,50,62.055265
-50.0,50,64.649528
-50.0,50,67.207383
-50.0,50,69.782319
-50.0,50,72.32954
-50.0,50,74.924828
-50.0,50,77.454284
-50.0,50,80.029206
-50.0,50,82.564415
-50.0,50,85.128442
-50.0,50,87.727452
-50.0,50,90.279338
-50.0,50,92.890453
-50.0,50,95.405324
-50.0,50,98.022074
-50.0,50,100.592692
-50.0,50,103.143172
-50.0,50,105.708387
-50.0,50,108.225554
-50.0,50,110.761803
-50.0,50,113.374739
-50.0,50,115.955092
-50.0,50,118.52279
-50.0,50,121.095806
-50.0,50,123.636794
-50.0,50,126.194244
-50.0,50,128.730925
-50.0,50,131.349017
-50.0,50,133.887953
-50.0,50,136.507937
-50.0,50,136.89065
-50.0,50,137.273692
-50.0,50,137.694774
-50.0,50,138.100209
-50.0,50,138.489861
-50.0,50,138.859662
-50.0,50,139.270353
-50.0,50,139.666329
-50.0,50,140.053287
-50.0,50,140.598585
-50.0,50,143.173916
-50.0,50,145.759602
-50.0,50,148.305785
-50.0,50,150.900563
-50.0,50,153.536114
-50.0,50,156.735824
-50.0,50,159.413505
-50.0,50,162.046055
-50.0,50,164.650849
-50.0,50,167.26668
-50.0,50,169.836125
-50.0,50,172.416616
-50.0,50,174.949177
-50.0,50,177.53225
-50.0,50,180.064515
-50.0,50,182.631991
-50.0,50,185.14934
-50.0,50,187.702682
-50.0,50,190.296246
-50.0,50,192.870942
-50.0,50,195.434187
-50.0,50,197.975374
-50.0,50,200.540677
-50.0,50,203.110467
-50.0,50,205.62181
-50.0,50,208.196312
-50.0,50,210.750971
-50.0,50,213.285562
-50.0,50,215.785446
-50.0,50,218.355011
-50.0,50,220.882699
-50.0,50,223.423468
-50.0,50,226.027728
-50.0,50,228.576565
-50.0,50,231.110445
-50.0,50,233.630819
-50.0,50,236.19783
-50.0,50,238.768124
-50.0,50,241.32589
-50.0,50,243.870536
-50.0,50,246.428174
-50.0,50,248.946202
-50.0,50,251.528865
-50.0,50,254.038274
-50.0,50,256.595181
-50.0,50,259.13509
-50.0,50,261.696212
-50.0,50,264.210958
-50.0,50,266.818436
-50.0,50,269.371536
-50.0,50,269.758562
-50.0,50,270.151553
-50.0,50,270.539959
-50.0,50,270.922078
-50.0,50,271.318719
-50.0,50,271.740348
-50.0,50,272.138468
-50.0,50,272.521528
-50.0,50,272.921379
-50.0,50,273.367329
-50.0,50,275.90591
-50.0,50,278.461339
-50.0,50,280.988028
-50.0,50,283.540004
-50.0,50,286.108164
-50.0,50,288.670425
-50.0,50,291.192856
-50.0,50,293.749051
-50.0,50,296.298067
-50.0,50,298.833823
-50.0,50,301.399945
-50.0,50,303.907672
-50.0,50,306.488232
-50.0,50,309.04393
-50.0,50,311.594714
-50.0,50,314.116204
-50.0,50,316.666036
-50.0,50,319.208081
-50.0,50,321.79157
-50.0,50,324.30664
-50.0,50,326.859363
-50.0,50,329.398592
-50.0,50,331.933875
-50.0,50,334.479874
-50.0,50,337.062753
-50.0,50,339.599316
-50.0,50,342.163033
-50.0,50,344.705799
-50.0,50,347.254032
-50.0,50,349.822094
-50.0,50,352.332026
-50.0,50,354.92019
-50.0,50,357.472927
-50.0,50,360.053093
-50.0,50,362.569387
-50.0,50,365.110277
-50.0,50,367.64216
-50.0,50,370.220484
-50.0,50,372.740042
-50.0,50,375.310493
-50.0,50,377.840424
-50.0,50,380.37841
-50.0,50,382.899026
-50.0,50,385.498428
-50.0,50,388.037654
-50.0,50,390.611812
-50.0,50,393.151443
-50.0,50,395.714611
-50.0,50,398.261783
-50.0,50,400.793692
-50.0,50,401.17772
-50.0,50,401.569299
-50.0,50,401.974618
-50.0,50,402.381069
-50.0,50,402.790367
-50.0,50,403.183698
-50.0,50,403.578084
-50.0,50,403.957589
-50.0,50,404.362566
-50.0,50,404.831665
-50.0,50,407.349431
-50.0,50,409.909029
-50.0,50,412.471605
-50.0,50,415.023657
-50.0,50,417.560757
-50.0,50,420.093807
-50.0,50,422.694967
-50.0,50,425.250907
-50.0,50,427.776804
-50.0,50,430.340955
-50.0,50,432.883841
-50.0,50,435.40947
-50.0,50,437.987675
-50.0,50,440.524924
-50.0,50,443.108503
-50.0,50,445.68364
-50.0,50,448.200579
-50.0,50,450.757948
-50.0,50,453.292367
-50.0,50,455.862145
-50.0,50,458.369393
-50.0,50,460.905643
-50.0,50,463.47167
-50.0,50,466.033973
-50.0,50,468.61823
-50.0,50,471.119261
-50.0,50,473.671508
-50.0,50,476.261965
-50.0,50,478.815122
-50.0,50,481.38602
-50.0,50,483.934413
-50.0,50,486.499611
-50.0,50,489.045905
-50.0,50,491.599318
-50.0,50,494.151989
-50.0,50,496.710681
-50.0,50,499.228055
-50.0,50,501.799708
-50.0,50,504.347477
-50.0,50,506.991719
-50.0,50,509.633501
-50.0,50,512.204015
-50.0,50,514.756867
-50.0,50,517.320584
-50.0,50,519.841265
-50.0,50,522.388441
-50.0,50,524.926534
-50.0,50,527.451731
-50.0,50,530.05783
-50.0,50,532.621129
-50.0,50,533.031585
-50.0,50,533.434103
-50.0,50,533.844871
-50.0,50,534.263875
-50.0,50,534.701138
-50.0,50,535.106817
-50.0,50,535.500978
-50.0,50,535.912539
-50.0,50,536.279965
-50.0,50,536.680446
-50.0,50,539.233202
-50.0,50,541.790755
-50.0,50,544.311099
-50.0,50,546.893971
-50.0,50,549.428004
-50.0,50,552.016651
-50.0,50,554.590735
-50.0,50,557.191852
-50.0,50,559.731917
-50.0,50,562.402553
-50.0,50,564.947959
-50.0,50,567.503742
-50.0,50,570.09078
-50.0,50,572.741585
-50.0,50,575.458088
-50.0,50,578.212501
-50.0,50,581.065922
-50.0,50,583.893724
-50.0,50,586.820821
-50.0,50,590.368978
-50.0,50,593.181619
-50.0,50,595.777277
-50.0,50,600.091048
-50.0,50,604.282941
-50.0,50,610.111423
-50.0,50,614.490109
-50.0,50,618.28907
-50.0,50,622.073964
-50.0,50,625.686568
-50.0,50,629.238309
-50.0,50,632.843744
-50.0,50,636.411302
-50.0,50,640.008096
-50.0,50,643.596574
-50.0,50,647.220556
-50.0,50,650.799644
-50.0,50,654.286124
-50.0,50,658.050465
-50.0,50,661.949831
-50.0,50,665.841834
-50.0,50,669.405555
-50.0,50,672.987673
-50.0,50,676.566549
-50.0,50,680.22759
-50.0,50,683.893065
-50.0,50,687.439848
-50.0,50,690.984702
-50.0,50,694.515701
-50.0,50,698.091991
-50.0,50,701.6965
-50.0,50,702.176577
