# {"env_id": "FetchToss-v1", "t_start": 1580777379.873842} 
r,l,t
-50.0,50,6.480882
-50.0,50,9.382427
-50.0,50,11.937805
-50.0,50,14.50075
-50.0,50,17.076041
-50.0,50,19.621583
-50.0,50,22.188145
-50.0,50,24.755566
-50.0,50,27.331228
-50.0,50,29.901451
-50.0,50,32.451534
-50.0,50,34.95982
-50.0,50,37.454822
-50.0,50,40.0638
-50.0,50,42.612743
-50.0,50,45.137054
-50.0,50,47.662881
-50.0,50,50.271966
-50.0,50,52.824315
-50.0,50,55.377385
-50.0,50,57.929222
-50.0,50,60.490579
-50.0,50,63.063087
-50.0,50,65.648204
-50.0,50,68.239898
-50.0,50,70.742827
-50.0,50,73.310385
-50.0,50,75.902228
-50.0,50,78.450891
-50.0,50,81.023507
-50.0,50,83.59795
-50.0,50,86.130478
-50.0,50,88.709548
-50.0,50,91.30967
-50.0,50,93.869028
-50.0,50,96.422647
-50.0,50,99.009342
-50.0,50,101.522394
-50.0,50,104.102246
-50.0,50,106.633855
-50.0,50,109.213275
-50.0,50,111.800982
-50.0,50,114.365622
-50.0,50,116.982517
-50.0,50,119.530166
-50.0,50,122.069715
-50.0,50,124.601881
-50.0,50,127.204744
-50.0,50,129.754302
-50.0,50,132.292618
-50.0,50,134.895909
-50.0,50,135.297235
-50.0,50,135.707835
-50.0,50,136.096264
-50.0,50,136.494623
-50.0,50,136.893684
-50.0,50,137.296504
-50.0,50,137.723225
-50.0,50,138.107641
-50.0,50,138.5091
-50.0,50,139.008458
-50.0,50,141.581471
-50.0,50,144.174229
-50.0,50,146.731769
-50.0,50,149.306846
-50.0,50,151.934296
-50.0,50,155.185019
-50.0,50,157.823135
-50.0,50,160.428869
-50.0,50,163.094656
-50.0,50,165.658854
-50.0,50,168.222391
-50.0,50,170.810579
-50.0,50,173.351651
-50.0,50,175.90918
-50.0,50,178.450888
-50.0,50,181.043508
-50.0,50,183.600906
-50.0,50,186.140245
-50.0,50,188.714893
-50.0,50,191.304484
-50.0,50,193.86691
-50.0,50,196.39614
-50.0,50,198.964515
-50.0,50,201.520266
-50.0,50,204.05678
-50.0,50,206.636945
-50.0,50,209.158848
-50.0,50,211.680134
-50.0,50,214.220742
-50.0,50,216.742722
-50.0,50,219.300821
-50.0,50,221.885005
-50.0,50,224.408325
-50.0,50,227.002883
-50.0,50,229.517237
-50.0,50,232.055677
-50.0,50,234.626773
-50.0,50,237.195936
-50.0,50,239.702905
-50.0,50,242.277451
-50.0,50,244.813117
-50.0,50,247.379011
-50.0,50,249.936681
-50.0,50,252.48527
-50.0,50,254.998365
-50.0,50,257.559731
-50.0,50,260.092715
-50.0,50,262.636994
-50.0,50,265.19272
-50.0,50,267.774787
-50.0,50,268.174703
-50.0,50,268.563247
-50.0,50,268.99896
-50.0,50,269.397904
-50.0,50,269.792243
-50.0,50,270.168442
-50.0,50,270.561327
-50.0,50,270.972714
-50.0,50,271.359582
-50.0,50,271.791981
-50.0,50,274.316932
-50.0,50,276.864432
-50.0,50,279.426694
-50.0,50,281.958909
-50.0,50,284.545901
-50.0,50,287.096283
-50.0,50,289.622786
-50.0,50,292.16346
-50.0,50,294.715961
-50.0,50,297.244434
-50.0,50,299.811849
-50.0,50,302.344523
-50.0,50,304.945536
-50.0,50,307.470415
-50.0,50,310.01014
-50.0,50,312.55011
-50.0,50,315.057107
-50.0,50,317.641159
-50.0,50,320.178041
-50.0,50,322.727428
-50.0,50,325.276484
-50.0,50,327.808706
-50.0,50,330.352711
-50.0,50,332.890068
-50.0,50,335.491728
-50.0,50,338.028316
-50.0,50,340.547919
-50.0,50,343.142763
-50.0,50,345.654476
-50.0,50,348.243134
-50.0,50,350.786309
-50.0,50,353.341491
-50.0,50,355.880786
-50.0,50,358.432762
-50.0,50,361.018836
-50.0,50,363.553298
-50.0,50,366.083042
-50.0,50,368.627601
-50.0,50,371.161366
-50.0,50,373.733458
-50.0,50,376.270512
-50.0,50,378.817884
-50.0,50,381.361324
-50.0,50,383.904284
-50.0,50,386.489949
-50.0,50,389.011431
-50.0,50,391.589262
-50.0,50,394.105968
-50.0,50,396.694264
-50.0,50,399.241704
-50.0,50,399.641555
-50.0,50,400.031363
-50.0,50,400.443714
-50.0,50,400.835846
-50.0,50,401.182997
-50.0,50,401.586718
-50.0,50,401.984805
-50.0,50,402.368226
-50.0,50,402.781309
-50.0,50,403.240773
-50.0,50,405.778616
-50.0,50,408.314114
-50.0,50,410.87254
-50.0,50,413.436535
-50.0,50,415.984666
-50.0,50,418.509821
-50.0,50,421.081968
-50.0,50,423.629233
-50.0,50,426.205344
-50.0,50,428.753483
-50.0,50,431.311842
-50.0,50,433.862004
-50.0,50,436.441
-50.0,50,438.950348
-50.0,50,441.5324
-50.0,50,444.109123
-50.0,50,446.639693
-50.0,50,449.194043
-50.0,50,451.721814
-50.0,50,454.259984
-50.0,50,456.76711
-50.0,50,459.332351
-50.0,50,461.90001
-50.0,50,464.441498
-50.0,50,467.029039
-50.0,50,469.602676
-50.0,50,472.147958
-50.0,50,474.702403
-50.0,50,477.230657
-50.0,50,479.799686
-50.0,50,482.336643
-50.0,50,484.907035
-50.0,50,487.471332
-50.0,50,490.032918
-50.0,50,492.575703
-50.0,50,495.132143
-50.0,50,497.67692
-50.0,50,500.222121
-50.0,50,502.761701
-50.0,50,505.382184
-50.0,50,508.073973
-50.0,50,510.633226
-50.0,50,513.154809
-50.0,50,515.745111
-50.0,50,518.28323
-50.0,50,520.815557
-50.0,50,523.351073
-50.0,50,525.90632
-50.0,50,528.45195
-50.0,50,531.0365
-50.0,50,531.439596
-50.0,50,531.863718
-50.0,50,532.25564
-50.0,50,532.665957
-50.0,50,533.043089
-50.0,50,533.427593
-50.0,50,533.832345
-50.0,50,534.236836
-50.0,50,534.618449
-50.0,50,535.113389
-50.0,50,537.668991
-50.0,50,540.204298
-50.0,50,542.759241
-50.0,50,545.32248
-50.0,50,547.82035
-50.0,50,550.410208
-50.0,50,553.019124
-50.0,50,555.599727
-50.0,50,558.152781
-50.0,50,560.771508
-50.0,50,563.408434
-50.0,50,565.974533
-50.0,50,568.564264
-50.0,50,571.14957
-50.0,50,573.850489
-50.0,50,576.637843
-50.0,50,579.48905
-50.0,50,582.312098
-50.0,50,585.237571
-50.0,50,588.765113
-50.0,50,591.594293
-50.0,50,594.263982
-50.0,50,598.553942
-50.0,50,602.72561
-50.0,50,608.589439
-50.0,50,612.945013
-50.0,50,616.721409
-50.0,50,620.44491
-50.0,50,624.073821
-50.0,50,627.679857
-50.0,50,631.299984
-50.0,50,634.852852
-50.0,50,638.409337
-50.0,50,642.039382
-50.0,50,645.635923
-50.0,50,649.20571
-50.0,50,652.716401
-50.0,50,656.437662
-50.0,50,660.416741
-50.0,50,664.258108
-50.0,50,667.768637
-50.0,50,671.441922
-50.0,50,675.012564
-50.0,50,678.634487
-50.0,50,682.298576
-50.0,50,685.881288
-50.0,50,689.419958
-50.0,50,692.940668
-50.0,50,696.535661
-50.0,50,700.085944
-50.0,50,700.584466
-50.0,50,701.073597
-50.0,50,701.515089
-50.0,50,701.978275
-50.0,50,702.519474
-50.0,50,702.998299
-50.0,50,703.511245
-50.0,50,703.984655
-50.0,50,704.413072
-50.0,50,704.988107
-50.0,50,708.554318
-50.0,50,712.230327
-50.0,50,715.779215
-50.0,50,719.327165
-50.0,50,722.990894
-50.0,50,726.654197
-50.0,50,730.221276
-50.0,50,733.814831
-50.0,50,737.441849
-50.0,50,740.997897
-50.0,50,744.609829
-50.0,50,748.001542
-50.0,50,752.038893
-50.0,50,755.481654
-50.0,50,759.166908
-50.0,50,762.83916
-50.0,50,766.453072
-50.0,50,770.109137
-50.0,50,773.669877
-50.0,50,777.230019
-50.0,50,780.872855
-50.0,50,784.513103
-50.0,50,788.078656
-50.0,50,791.703562
-50.0,50,795.319732
-50.0,50,799.034495
-50.0,50,802.639965
-50.0,50,806.317668
-50.0,50,809.91469
-50.0,50,813.594036
-50.0,50,817.360971
-50.0,50,821.089273
-50.0,50,824.817893
-50.0,50,828.556137
-50.0,50,832.359715
-50.0,50,836.114794
-50.0,50,839.915652
-50.0,50,843.735985
-50.0,50,847.43473
-50.0,50,851.273415
-50.0,50,855.064383
-50.0,50,858.910277
-50.0,50,862.039995
-50.0,50,864.679239
-50.0,50,868.007015
-50.0,50,872.159026
-50.0,50,876.385113
-50.0,50,880.664897
-50.0,50,885.224159
-50.0,50,888.921696
-50.0,50,889.332978
-50.0,50,889.785565
-50.0,50,890.225615
-50.0,50,890.670039
-50.0,50,891.085766
-50.0,50,891.508857
-50.0,50,891.923868
-50.0,50,892.324819
-50.0,50,892.718004
-50.0,50,893.164694
-50.0,50,896.58744
-50.0,50,899.938904
-50.0,50,902.672073
-50.0,50,905.239691
-50.0,50,907.822927
-50.0,50,910.410096
-50.0,50,913.006315
-50.0,50,915.614865
-50.0,50,918.165845
-50.0,50,920.775016
-50.0,50,923.332173
-50.0,50,925.933671
-50.0,50,928.516195
-50.0,50,931.096179
-50.0,50,933.698532
-50.0,50,936.285694
-50.0,50,938.839119
-50.0,50,941.409149
-50.0,50,943.992795
-50.0,50,946.600493
-50.0,50,949.191261
-50.0,50,951.787931
-50.0,50,954.383368
-50.0,50,956.9392
-50.0,50,959.523603
-50.0,50,962.146475
-50.0,50,964.724048
-50.0,50,967.322071
-50.0,50,969.892186
-50.0,50,972.521666
-50.0,50,975.083437
-50.0,50,977.633301
-50.0,50,980.241691
-50.0,50,982.82005
-50.0,50,985.418072
-50.0,50,987.964176
-50.0,50,990.567252
-50.0,50,993.156465
-50.0,50,995.758018
-50.0,50,998.38137
-50.0,50,1000.944889
-50.0,50,1003.519549
-50.0,50,1006.12903
-50.0,50,1008.716486
-50.0,50,1011.316745
-50.0,50,1013.935961
-50.0,50,1016.507203
-50.0,50,1019.126646
-50.0,50,1021.705543
-50.0,50,1024.251514
-50.0,50,1024.645895
-50.0,50,1025.044278
-50.0,50,1025.437318
-50.0,50,1025.825679
-50.0,50,1026.26627
