epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.88292885,0.1280088,0.20453808,0.057860482,20.0,-3.192125,0.0,100.0,0.0
1,0.8832331,0.12700565,0.2045724,0.05389135,40.0,-5.2835603,0.0,200.0,0.0
2,0.88289356,0.12726472,0.20429245,0.05287993,60.0,-7.310399,0.0,300.0,0.0
3,0.88213694,0.12726088,0.20402655,0.051560592,80.0,-9.289681,0.0,400.0,0.0
4,0.88206846,0.12705977,0.2040194,0.050559454,100.0,-11.22583,0.0,500.0,0.0
5,0.8821486,0.12692645,0.20405838,0.050724097,120.0,-13.081207,0.0,600.0,0.0
6,0.88208884,0.12691568,0.20398328,0.05055622,140.0,-14.830302,0.0,700.0,0.0
7,0.88227844,0.12689303,0.20401254,0.050236654,160.0,-16.4596,0.0,800.0,0.0
8,0.8823201,0.12691578,0.20396996,0.050144188,180.0,-18.100285,0.0,900.0,0.0
9,0.88240147,0.12682849,0.20401779,0.04991496,200.0,-19.648073,0.0,1000.0,0.0
10,0.8825075,0.1267931,0.20410061,0.049691916,220.0,-21.095348,0.0,1100.0,0.0
11,0.88240826,0.12673835,0.20408908,0.04945413,240.0,-22.553488,0.0,1200.0,0.0
12,0.88222647,0.12684399,0.20405726,0.04964563,260.0,-23.914402,0.0,1300.0,0.0
13,0.88224316,0.12685056,0.2040486,0.04969076,280.0,-25.093075,0.0,1400.0,0.0
14,0.88211715,0.12700899,0.20399566,0.049750272,300.0,-26.354874,0.0,1500.0,0.0
15,0.88214463,0.12698177,0.20400599,0.050165653,320.0,-27.457157,0.0,1600.0,0.0
16,0.882157,0.12697546,0.20401616,0.050222367,340.0,-28.51089,0.0,1700.0,0.0
17,0.8820678,0.12699243,0.20398787,0.05019792,360.0,-29.521414,0.0,1800.0,0.0
18,0.88192433,0.12695324,0.20394067,0.050216667,380.0,-30.528957,0.0,1900.0,0.0
19,0.88198614,0.12686159,0.20395997,0.050396286,400.0,-31.538874,0.0,2000.0,0.0
20,0.8820149,0.12683949,0.20396343,0.05048884,420.0,-32.387245,0.0,2100.0,0.0
21,0.8820348,0.12687095,0.20395195,0.05055297,440.0,-33.24511,0.0,2200.0,0.0
22,0.8820915,0.12684138,0.20396164,0.0506031,460.0,-34.154556,0.0,2300.0,0.0
23,0.88211507,0.12683828,0.20395812,0.050665714,480.0,-34.802147,0.0,2400.0,0.0
24,0.88205755,0.12685497,0.20393713,0.05062247,500.0,-35.550938,0.0,2500.0,0.0
25,0.88209355,0.12695451,0.20394543,0.050649714,520.0,-36.230824,0.0,2600.0,0.0
26,0.8821006,0.12700306,0.20394376,0.050668508,540.0,-36.962593,0.0,2700.0,0.0
27,0.8821303,0.12696649,0.20394993,0.0506912,560.0,-37.556736,0.0,2800.0,0.0
28,0.88210547,0.12701966,0.20394346,0.050645918,580.0,-38.143333,0.0,2900.0,0.0
29,0.8820788,0.12697756,0.20392473,0.050593805,600.0,-38.66581,0.0,3000.0,0.0
30,0.88206846,0.12707894,0.2039185,0.050575443,620.0,-39.31228,0.0,3100.0,0.0
31,0.8819971,0.12713291,0.20389208,0.05068605,640.0,-39.801895,0.0,3200.0,0.0
32,0.8819936,0.12723546,0.20388798,0.05076289,660.0,-40.34153,0.0,3300.0,0.0
33,0.88204277,0.12722692,0.20389938,0.050940633,680.0,-40.718098,0.0,3400.0,0.0
34,0.8820661,0.12734094,0.20393404,0.051205803,700.0,-41.203907,0.0,3500.0,0.0
35,0.8821575,0.12746103,0.20396218,0.05132841,720.0,-41.583332,0.0,3600.0,0.0
36,0.8821312,0.12768707,0.20395783,0.051621187,740.0,-42.071846,0.0,3700.0,0.0
37,0.88214254,0.12805314,0.20396094,0.05215866,760.0,-42.34338,0.0,3800.0,0.0
38,0.88214004,0.12873782,0.2039808,0.05344028,780.0,-42.707924,0.0,3900.0,0.0
39,0.88217294,0.12950002,0.20403127,0.054945536,800.0,-42.748848,0.0,4000.0,0.0
40,0.8821987,0.13010411,0.20406112,0.056152213,820.0,-43.233196,0.0,4100.0,0.0
41,0.8822649,0.1303212,0.20410445,0.056819163,840.0,-43.52468,0.0,4200.0,0.0
42,0.88224715,0.1305386,0.20411506,0.05726845,860.0,-43.832268,0.0,4300.0,0.0
43,0.88229275,0.1306568,0.20413725,0.057623066,880.0,-44.206146,0.0,4400.0,0.0
44,0.8823366,0.13089009,0.20415778,0.05805731,900.0,-44.475662,0.0,4500.0,0.0
45,0.8823382,0.13106982,0.20416752,0.058416396,920.0,-44.723595,0.0,4600.0,0.0
46,0.88237125,0.1312214,0.20417199,0.058836807,940.0,-44.94558,0.0,4700.0,0.0
47,0.8823641,0.1312492,0.20417194,0.05907569,960.0,-45.12973,0.0,4800.0,0.0
48,0.88236505,0.13127053,0.20417698,0.059286885,980.0,-45.461838,0.0,4900.0,0.0
49,0.88240635,0.13130523,0.20419487,0.05946482,1000.0,-45.516407,0.0,5000.0,0.0
