epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8827898,0.12628146,0.20391253,0.054160856,20.0,-3.2273357,0.0,100.0,0.0
1,0.88281476,0.12782796,0.20370011,0.055101175,40.0,-5.318338,0.0,200.0,0.0
2,0.88247186,0.12870286,0.20335701,0.05528436,60.0,-7.3653603,0.0,300.0,0.0
3,0.88280886,0.12795445,0.2035131,0.053512685,80.0,-9.351902,0.0,400.0,0.0
4,0.8822778,0.12782113,0.2034713,0.052948922,100.0,-11.242354,0.0,500.0,0.0
5,0.8825405,0.12759162,0.20359592,0.052374512,120.0,-13.0746,0.0,600.0,0.0
6,0.88264817,0.12709941,0.20366769,0.052213706,140.0,-14.846518,0.0,700.0,0.0
7,0.88230294,0.12704633,0.20362493,0.05171141,160.0,-16.55515,0.0,800.0,0.0
8,0.8821046,0.1270537,0.20361641,0.05178196,180.0,-18.119558,0.0,900.0,0.0
9,0.8821133,0.12714784,0.2036844,0.051917642,200.0,-19.696941,0.0,1000.0,0.0
10,0.8822861,0.12703235,0.20375803,0.052368112,220.0,-21.119965,0.0,1100.0,0.0
11,0.88230026,0.12689896,0.20382288,0.052422136,240.0,-22.51268,0.0,1200.0,0.0
12,0.8823198,0.12687553,0.20386557,0.052528124,260.0,-23.789219,0.0,1300.0,0.0
13,0.88230515,0.12683891,0.20382304,0.052871358,280.0,-25.100151,0.0,1400.0,0.0
14,0.8824293,0.12693304,0.20384917,0.052867044,300.0,-26.279816,0.0,1500.0,0.0
15,0.88246423,0.12689672,0.2038898,0.05284092,320.0,-27.428223,0.0,1600.0,0.0
16,0.8824426,0.12684913,0.20388417,0.052551698,340.0,-28.488605,0.0,1700.0,0.0
17,0.8825819,0.12680052,0.20394127,0.052362036,360.0,-29.531122,0.0,1800.0,0.0
18,0.8825795,0.12680747,0.20391865,0.052323334,380.0,-30.508991,0.0,1900.0,0.0
19,0.8826065,0.12681597,0.20393915,0.052348685,400.0,-31.481888,0.0,2000.0,0.0
20,0.8826316,0.12688436,0.20395403,0.052358598,420.0,-32.405396,0.0,2100.0,0.0
21,0.8826753,0.12698565,0.20396602,0.0523746,440.0,-33.249626,0.0,2200.0,0.0
22,0.8827847,0.12695022,0.20399556,0.05228008,460.0,-34.031567,0.0,2300.0,0.0
23,0.8828413,0.12688197,0.2040216,0.052105594,480.0,-34.743675,0.0,2400.0,0.0
24,0.8827631,0.12691858,0.20399651,0.05200361,500.0,-35.55439,0.0,2500.0,0.0
25,0.88270456,0.1269719,0.2039843,0.052116074,520.0,-36.224064,0.0,2600.0,0.0
26,0.8826702,0.12698857,0.20397913,0.052127432,540.0,-36.895397,0.0,2700.0,0.0
27,0.88265026,0.12692986,0.20397356,0.052181005,560.0,-37.593987,0.0,2800.0,0.0
28,0.88265276,0.12704311,0.20396325,0.052354403,580.0,-38.192757,0.0,2900.0,0.0
29,0.88264924,0.1270283,0.20397589,0.05229517,600.0,-38.71977,0.0,3000.0,0.0
30,0.8826275,0.12694947,0.20397744,0.05236299,620.0,-39.275845,0.0,3100.0,0.0
31,0.88259584,0.12713042,0.20397058,0.052500702,640.0,-39.705044,0.0,3200.0,0.0
32,0.8825962,0.12731075,0.20397148,0.05265963,660.0,-40.18075,0.0,3300.0,0.0
33,0.88261855,0.12759574,0.20397334,0.05312673,680.0,-40.346,0.0,3400.0,0.0
34,0.882545,0.12835391,0.20399085,0.05410149,700.0,-40.594124,0.0,3500.0,0.0
35,0.88252103,0.12893827,0.20400925,0.05531714,720.0,-41.159573,0.0,3600.0,0.0
36,0.88250273,0.12970193,0.20403862,0.056709982,740.0,-41.479103,0.0,3700.0,0.0
37,0.8825251,0.13019647,0.20405924,0.057929836,760.0,-42.006752,0.0,3800.0,0.0
38,0.8825157,0.13044909,0.20405512,0.05867394,780.0,-42.249306,0.0,3900.0,0.0
39,0.8824884,0.13078207,0.20404859,0.059516586,800.0,-42.539406,0.0,4000.0,0.0
40,0.88249385,0.13096993,0.20404415,0.06008487,820.0,-42.93493,0.0,4100.0,0.0
41,0.88253564,0.13107356,0.20406525,0.06059851,840.0,-43.175167,0.0,4200.0,0.0
42,0.8825324,0.13128506,0.20405197,0.06101514,860.0,-43.464165,0.0,4300.0,0.0
43,0.8825327,0.13134275,0.20406106,0.06135459,880.0,-43.584614,0.0,4400.0,0.0
44,0.88254356,0.131323,0.20407195,0.06191352,900.0,-42.264416,0.0,4500.0,0.0
45,0.88255054,0.13134082,0.20406839,0.062376954,920.0,-41.599453,0.0,4600.0,0.0
46,0.8825558,0.13124444,0.20406994,0.062656306,940.0,-41.161945,0.0,4700.0,0.0
47,0.882518,0.1311377,0.2040607,0.062721536,960.0,-41.68748,0.0,4800.0,0.0
48,0.882552,0.13102444,0.20407315,0.06268724,980.0,-42.193707,0.0,4900.0,0.0
49,0.8825323,0.13096558,0.20406274,0.06256119,1000.0,-42.796837,0.0,5000.0,0.0
