# {"env_id": "FetchToss-v3", "t_start": 1581279042.2403293} 
r,l,t
-100.0,100,6.164608
-100.0,100,8.954014
-100.0,100,11.510615
-100.0,100,14.03217
-100.0,100,16.520413
-100.0,100,19.187633
-100.0,100,21.800724
-100.0,100,24.446246
-100.0,100,27.049258
-100.0,100,30.26507
-100.0,100,33.679508
-100.0,100,37.403817
-100.0,100,41.130112
-100.0,100,44.859897
-100.0,100,48.454115
-100.0,100,52.186457
-100.0,100,55.909693
-100.0,100,59.698518
-100.0,100,63.292176
-100.0,100,66.976662
-100.0,100,70.696815
-100.0,100,74.50589
-100.0,100,78.212981
-100.0,100,81.811314
-100.0,100,85.33976
-100.0,100,89.098383
-100.0,100,92.787033
-100.0,100,96.403713
-100.0,100,100.091183
-100.0,100,103.800884
-100.0,100,107.538731
-100.0,100,111.276597
-100.0,100,114.878201
-100.0,100,118.57673
-100.0,100,122.282435
-100.0,100,125.973816
-100.0,100,129.662375
-100.0,100,133.356234
-100.0,100,137.137684
-100.0,100,140.82438
-100.0,100,144.516096
-100.0,100,148.292815
-100.0,100,151.987905
-100.0,100,155.731595
-100.0,100,159.464871
-100.0,100,162.920917
-100.0,100,165.824905
-100.0,100,168.510816
-100.0,100,171.093831
-100.0,100,173.697076
-100.0,100,176.280301
-100.0,100,176.996227
-100.0,100,177.690848
-100.0,100,178.43915
-100.0,100,179.135682
-100.0,100,179.834563
-100.0,100,180.542696
-100.0,100,181.228528
-100.0,100,181.924563
-100.0,100,182.642034
-100.0,100,183.412473
-100.0,100,186.012912
-100.0,100,188.60668
-100.0,100,191.186711
-100.0,100,193.746221
-100.0,100,196.392416
-100.0,100,198.941032
-100.0,100,201.560353
-100.0,100,204.141285
-100.0,100,206.743507
-100.0,100,209.311464
-100.0,100,211.936068
-100.0,100,214.488407
-100.0,100,217.093634
-100.0,100,219.698749
-100.0,100,222.232982
-100.0,100,224.895833
-100.0,100,227.47761
-100.0,100,230.03144
-100.0,100,232.668437
-100.0,100,235.258529
-100.0,100,237.82005
-100.0,100,240.402586
-100.0,100,242.969208
-100.0,100,245.61659
-100.0,100,248.18843
-100.0,100,250.823823
-100.0,100,253.372479
-100.0,100,255.988247
-100.0,100,258.571549
-100.0,100,261.142298
-100.0,100,263.753858
-100.0,100,266.353478
-100.0,100,268.940591
-100.0,100,271.569971
-100.0,100,274.114969
-100.0,100,276.670717
-100.0,100,279.318219
-100.0,100,281.910929
-100.0,100,284.463437
-100.0,100,287.050142
-100.0,100,289.632761
-100.0,100,292.255225
-100.0,100,294.843331
-100.0,100,297.432335
-100.0,100,300.178073
-100.0,100,302.916147
-100.0,100,305.525122
-100.0,100,308.10433
-100.0,100,310.665596
-100.0,100,313.273096
-100.0,100,313.966626
-100.0,100,314.662709
-100.0,100,315.341731
-100.0,100,316.019131
-100.0,100,316.698359
-100.0,100,317.408885
-100.0,100,318.111291
-100.0,100,318.782871
-100.0,100,319.463126
-100.0,100,320.277873
-100.0,100,322.84501
-100.0,100,325.45948
-100.0,100,328.051225
-100.0,100,330.59976
-100.0,100,333.169268
-100.0,100,335.759936
-100.0,100,338.326651
-100.0,100,340.9265
-100.0,100,343.47132
-100.0,100,346.044202
-100.0,100,348.632634
-100.0,100,351.192483
-100.0,100,353.787454
-100.0,100,356.357118
-100.0,100,359.006316
-100.0,100,361.517564
-100.0,100,364.137965
-100.0,100,366.693226
-100.0,100,369.287076
-100.0,100,371.897769
-100.0,100,374.473147
-100.0,100,377.071351
-100.0,100,379.692546
-100.0,100,382.253252
-100.0,100,384.793262
-100.0,100,387.375306
-100.0,100,389.96822
-100.0,100,392.535875
-100.0,100,395.103836
-100.0,100,397.775177
-100.0,100,400.334008
-100.0,100,402.928354
-100.0,100,405.521456
-100.0,100,408.107499
-100.0,100,410.725826
-100.0,100,413.27883
-100.0,100,415.900913
-100.0,100,418.454453
-100.0,100,421.062707
-100.0,100,423.669113
-100.0,100,426.203345
-100.0,100,428.795192
-100.0,100,431.356914
-100.0,100,433.933992
-100.0,100,436.576502
-100.0,100,439.158471
-100.0,100,441.742832
-100.0,100,444.337367
-100.0,100,446.882078
-100.0,100,449.463322
-100.0,100,450.212824
-100.0,100,450.912391
-100.0,100,451.602598
-100.0,100,452.30837
-100.0,100,453.004047
-100.0,100,453.696445
