# {"t_start": 1581279043.052792, "env_id": "FetchToss-v3"} 
r,l,t
-100.0,100,5.300282
-100.0,100,8.122593
-100.0,100,10.680854
-100.0,100,13.175508
-100.0,100,15.747386
-100.0,100,18.330486
-100.0,100,20.928171
-100.0,100,23.621544
-100.0,100,26.287574
-100.0,100,29.462699
-100.0,100,32.944822
-100.0,100,36.598588
-100.0,100,40.309247
-100.0,100,44.031441
-100.0,100,47.642164
-100.0,100,51.381608
-100.0,100,55.046819
-100.0,100,58.855226
-100.0,100,62.524905
-100.0,100,66.189557
-100.0,100,69.907418
-100.0,100,73.672734
-100.0,100,77.346998
-100.0,100,80.971703
-100.0,100,84.561803
-100.0,100,88.206086
-100.0,100,91.951214
-100.0,100,95.500489
-100.0,100,99.29602
-100.0,100,103.013234
-100.0,100,106.723787
-100.0,100,110.426968
-100.0,100,114.113471
-100.0,100,117.765655
-100.0,100,121.522824
-100.0,100,125.113053
-100.0,100,128.905921
-100.0,100,132.61584
-100.0,100,136.320848
-100.0,100,140.046325
-100.0,100,143.658495
-100.0,100,147.46612
-100.0,100,151.185957
-100.0,100,154.941239
-100.0,100,158.659382
-100.0,100,162.112422
-100.0,100,165.037377
-100.0,100,167.692116
-100.0,100,170.285897
-100.0,100,172.871728
-100.0,100,175.5155
-100.0,100,176.230965
-100.0,100,176.941938
-100.0,100,177.627413
-100.0,100,178.28632
-100.0,100,178.962848
-100.0,100,179.672824
-100.0,100,180.326524
-100.0,100,181.004738
-100.0,100,181.709622
-100.0,100,182.607602
-100.0,100,185.212623
-100.0,100,187.786804
-100.0,100,190.368006
-100.0,100,192.963886
-100.0,100,195.557628
-100.0,100,198.148383
-100.0,100,200.712755
-100.0,100,203.283164
-100.0,100,205.887555
-100.0,100,208.501297
-100.0,100,211.06904
-100.0,100,213.69601
-100.0,100,216.256502
-100.0,100,218.87749
-100.0,100,221.446473
-100.0,100,224.05818
-100.0,100,226.619985
-100.0,100,229.251727
-100.0,100,231.837525
-100.0,100,234.424143
-100.0,100,237.014661
-100.0,100,239.649304
-100.0,100,242.225381
-100.0,100,244.789759
-100.0,100,247.390325
-100.0,100,249.956278
-100.0,100,252.554963
-100.0,100,255.180195
-100.0,100,257.732846
-100.0,100,260.374883
-100.0,100,262.987424
-100.0,100,265.577298
-100.0,100,268.157083
-100.0,100,270.732734
-100.0,100,273.297678
-100.0,100,275.910893
-100.0,100,278.463668
-100.0,100,281.016205
-100.0,100,283.68302
-100.0,100,286.24479
-100.0,100,288.838103
-100.0,100,291.41275
-100.0,100,294.039501
-100.0,100,296.631606
-100.0,100,299.385685
-100.0,100,302.098428
-100.0,100,304.723869
-100.0,100,307.311345
-100.0,100,309.868445
-100.0,100,312.421216
-100.0,100,313.106778
-100.0,100,313.794902
-100.0,100,314.556228
-100.0,100,315.250096
-100.0,100,315.952902
-100.0,100,316.689754
-100.0,100,317.388622
-100.0,100,318.079128
-100.0,100,318.763606
-100.0,100,319.460755
-100.0,100,322.036052
-100.0,100,324.610648
-100.0,100,327.19474
-100.0,100,329.806926
-100.0,100,332.401119
-100.0,100,334.949798
-100.0,100,337.514503
-100.0,100,340.071309
-100.0,100,342.645931
-100.0,100,345.214402
-100.0,100,347.83353
-100.0,100,350.368525
-100.0,100,352.935874
-100.0,100,355.550941
-100.0,100,358.151843
-100.0,100,360.735197
-100.0,100,363.309816
-100.0,100,365.859478
-100.0,100,368.468186
-100.0,100,371.109518
-100.0,100,373.706916
-100.0,100,376.26082
-100.0,100,378.858525
-100.0,100,381.439827
-100.0,100,384.014585
-100.0,100,386.57437
-100.0,100,389.157256
-100.0,100,391.711799
-100.0,100,394.325299
-100.0,100,396.925496
-100.0,100,399.529826
-100.0,100,402.098768
-100.0,100,404.735111
-100.0,100,407.309636
