epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.879684,0.15741505,0.204205,0.071956664,20.0,-3.1382968,0.0,100.0,0.0
1,0.87654513,0.16633154,0.20329592,0.07545115,40.0,-5.2963743,0.0,200.0,0.0
2,0.87673175,0.16517462,0.20310858,0.07387835,60.0,-7.4648056,0.0,300.0,0.0
3,0.87679195,0.16393934,0.20314583,0.07268916,80.0,-9.7052965,0.0,400.0,0.0
4,0.8767657,0.16576014,0.20320097,0.073076785,100.0,-11.81309,0.0,500.0,0.0
5,0.8768571,0.16630673,0.20318148,0.073420145,120.0,-13.977321,0.0,600.0,0.0
6,0.87679213,0.1664864,0.20310697,0.073645785,140.0,-16.019321,0.0,700.0,0.0
7,0.8764242,0.16812475,0.20292635,0.07436256,160.0,-18.032421,0.0,800.0,0.0
8,0.87664396,0.16858597,0.20300274,0.07471178,180.0,-20.005716,0.0,900.0,0.0
9,0.8762525,0.17028718,0.20302466,0.07631227,200.0,-21.996815,0.0,1000.0,0.0
10,0.8760894,0.17211215,0.2030137,0.077462256,220.0,-23.833395,0.0,1100.0,0.0
11,0.8756787,0.1739711,0.20298167,0.07850143,240.0,-25.723988,0.0,1200.0,0.0
12,0.8755724,0.17620476,0.2029945,0.07992288,260.0,-27.503525,0.0,1300.0,0.0
13,0.87542343,0.17735253,0.20299637,0.08081488,280.0,-29.264383,0.0,1400.0,0.0
14,0.8752106,0.17874765,0.20293526,0.08202321,300.0,-30.959015,0.0,1500.0,0.0
15,0.874922,0.18048362,0.20288186,0.08313359,320.0,-32.734,0.0,1600.0,0.0
16,0.87441427,0.18236433,0.20285682,0.0842696,340.0,-34.347992,0.0,1700.0,0.0
17,0.87388134,0.18462075,0.20285206,0.08547207,360.0,-36.04367,0.0,1800.0,0.0
18,0.87338144,0.1868264,0.20279892,0.08674486,380.0,-37.533607,0.0,1900.0,0.0
19,0.87289125,0.18837231,0.2027005,0.08807962,400.0,-39.077747,0.0,2000.0,0.0
20,0.8726538,0.18972494,0.2027373,0.08932287,420.0,-40.50409,0.0,2100.0,0.0
21,0.87238467,0.19230975,0.20275421,0.0912231,440.0,-41.885826,0.0,2200.0,0.0
22,0.8718708,0.19475944,0.20268221,0.09304347,460.0,-43.29719,0.0,2300.0,0.0
23,0.8712408,0.19718711,0.20262825,0.09499281,480.0,-44.426212,0.0,2400.0,0.0
24,0.8703316,0.200822,0.20254263,0.09785543,500.0,-45.675453,0.0,2500.0,0.0
25,0.8692225,0.20535453,0.20238385,0.10206933,520.0,-46.354706,0.0,2600.0,0.0
26,0.8678085,0.20979314,0.20231648,0.10682788,540.0,-47.327576,0.0,2700.0,0.0
27,0.8664921,0.21426852,0.20220554,0.11192395,560.0,-48.187565,0.0,2800.0,0.0
28,0.8654672,0.21882908,0.20206305,0.11682694,580.0,-48.45945,0.0,2900.0,0.0
29,0.8640413,0.225382,0.20153563,0.12286929,600.0,-47.739212,0.0,3000.0,0.0
30,0.8628415,0.23053952,0.20136738,0.12749904,620.0,-50.66181,0.0,3100.0,0.0
31,0.8625944,0.23347333,0.20128581,0.13021192,640.0,-52.04264,0.0,3200.0,0.0
32,0.861853,0.23758516,0.20095654,0.13313957,660.0,-52.835815,0.0,3300.0,0.0
33,0.8610522,0.24173105,0.20067687,0.136628,680.0,-52.96872,0.0,3400.0,0.0
34,0.86064994,0.24442413,0.20059247,0.13888882,700.0,-53.973427,0.0,3500.0,0.0
35,0.8603794,0.24836536,0.20053664,0.14198944,720.0,-53.9488,0.0,3600.0,0.0
36,0.85990256,0.25284657,0.20043442,0.14549434,740.0,-55.087746,0.0,3700.0,0.0
37,0.85971373,0.25621787,0.20044425,0.14842357,760.0,-55.996937,0.0,3800.0,0.0
38,0.8593792,0.25898498,0.20045587,0.1507775,780.0,-57.13987,0.0,3900.0,0.0
39,0.8585016,0.26118648,0.20033994,0.15257289,800.0,-58.122925,0.0,4000.0,0.0
40,0.8571516,0.26345035,0.20013885,0.15422903,820.0,-58.67794,0.0,4100.0,0.0
41,0.85567033,0.26573598,0.19992208,0.15599519,840.0,-59.87342,0.0,4200.0,0.0
42,0.8542126,0.26782885,0.19968544,0.15757655,860.0,-60.59436,0.0,4300.0,0.0
43,0.85305965,0.27007115,0.19953294,0.15923573,880.0,-61.16393,0.0,4400.0,0.0
44,0.85204923,0.27213863,0.19937092,0.16092804,900.0,-62.170906,0.0,4500.0,0.0
45,0.8516015,0.2735274,0.19930565,0.16246347,920.0,-63.008278,0.0,4600.0,0.0
46,0.8508199,0.27471974,0.1992171,0.16359684,940.0,-63.960815,0.0,4700.0,0.0
47,0.8503467,0.27520224,0.19914395,0.16405825,960.0,-64.73858,0.0,4800.0,0.0
48,0.8498932,0.2754471,0.1991021,0.16421665,980.0,-65.70733,0.0,4900.0,0.0
49,0.8497259,0.27550182,0.19904628,0.1641412,1000.0,-66.57056,0.0,5000.0,0.0
