# {"t_start": 1581276013.2500584, "env_id": "FetchToss-v3"} 
r,l,t
-100.0,100,7.904207
-100.0,100,12.125836
-100.0,100,16.338387
-100.0,100,19.789785
-100.0,100,23.290894
-100.0,100,26.138721
-100.0,100,29.353196
-100.0,100,32.365027
-100.0,100,35.429127
-100.0,100,38.524078
-100.0,100,41.434061
-100.0,100,44.115352
-100.0,100,46.828469
-100.0,100,49.599977
-100.0,100,52.376947
-100.0,100,54.994006
-100.0,100,57.806463
-100.0,100,60.401364
-100.0,100,63.252687
-100.0,100,65.953656
-100.0,100,68.688269
-100.0,100,71.373925
-100.0,100,73.991644
-100.0,100,76.635935
-100.0,100,79.461153
-100.0,100,82.250945
-100.0,100,84.866411
-100.0,100,87.482772
-100.0,100,90.24937
-100.0,100,93.112095
-100.0,100,95.809111
-100.0,100,98.534559
-100.0,100,101.311156
-100.0,100,104.034834
-100.0,100,106.736565
-100.0,100,109.379395
-100.0,100,112.054042
-100.0,100,114.760292
-100.0,100,117.500364
-100.0,100,120.390906
-100.0,100,123.108777
-100.0,100,125.867423
-100.0,100,128.669149
-100.0,100,131.371037
-100.0,100,134.259081
-100.0,100,136.990991
-100.0,100,139.640653
-100.0,100,142.351096
-100.0,100,145.144148
-100.0,100,148.035866
-100.0,100,150.757123
-100.0,100,151.451526
-100.0,100,152.266163
-100.0,100,153.064585
-100.0,100,153.817131
-100.0,100,154.648133
-100.0,100,155.451635
-100.0,100,156.211408
-100.0,100,156.981474
-100.0,100,157.761083
-100.0,100,158.909903
-100.0,100,161.717176
-100.0,100,164.685965
-100.0,100,167.530467
-100.0,100,170.116133
-100.0,100,172.847542
-100.0,100,175.479411
-100.0,100,178.090255
-100.0,100,180.708405
-100.0,100,183.27084
-100.0,100,185.957759
-100.0,100,188.654846
-100.0,100,191.238796
-100.0,100,193.828649
-100.0,100,196.446949
-100.0,100,199.096537
-100.0,100,201.726422
-100.0,100,204.332392
-100.0,100,206.92086
-100.0,100,209.547747
-100.0,100,212.10491
-100.0,100,214.723441
-100.0,100,217.31492
-100.0,100,219.934479
-100.0,100,222.539124
-100.0,100,225.194689
-100.0,100,227.847891
-100.0,100,230.683231
-100.0,100,233.344909
-100.0,100,235.912631
-100.0,100,238.660707
-100.0,100,241.392591
-100.0,100,243.945449
-100.0,100,246.696091
-100.0,100,249.362818
-100.0,100,252.071906
-100.0,100,254.76117
-100.0,100,257.396549
-100.0,100,260.109618
-100.0,100,262.777427
-100.0,100,265.524421
-100.0,100,268.439326
-100.0,100,271.113299
-100.0,100,273.771646
-100.0,100,276.462365
-100.0,100,279.097178
-100.0,100,281.789605
-100.0,100,284.546107
-100.0,100,287.470186
-100.0,100,290.233032
-100.0,100,292.889444
-100.0,100,293.638657
-100.0,100,294.384966
-100.0,100,295.177075
-100.0,100,295.932958
-100.0,100,296.752916
-100.0,100,297.508228
-100.0,100,298.349354
-100.0,100,299.08691
-100.0,100,299.79777
-100.0,100,300.519091
-100.0,100,303.163056
-100.0,100,305.808006
-100.0,100,308.586549
-100.0,100,311.309199
-100.0,100,314.103174
-100.0,100,316.887937
-100.0,100,319.695178
-100.0,100,322.741806
-100.0,100,325.687716
-100.0,100,328.525095
-100.0,100,331.3474
-100.0,100,333.991847
-100.0,100,336.680512
-100.0,100,339.535074
-100.0,100,342.173946
-100.0,100,344.889622
-100.0,100,347.745569
-100.0,100,350.564687
-100.0,100,353.534032
-100.0,100,356.545932
-100.0,100,359.368036
-100.0,100,362.147062
-100.0,100,364.850021
-100.0,100,367.753075
-100.0,100,370.474044
-100.0,100,373.398383
-100.0,100,376.315436
-100.0,100,379.115
-100.0,100,381.639963
-100.0,100,384.256113
-100.0,100,386.826671
-100.0,100,389.66787
-100.0,100,392.397182
-100.0,100,395.011124
-100.0,100,397.616985
-100.0,100,400.153868
-100.0,100,402.788192
-100.0,100,405.350229
-100.0,100,407.948359
-100.0,100,410.506295
-100.0,100,413.130316
-100.0,100,416.061585
-100.0,100,420.108786
