# {"t_start": 1580946937.9053085, "env_id": "FetchTosscube-v1"} 
r,l,t
-50.0,50,6.918123
-50.0,50,11.013104
-50.0,50,14.759951
-50.0,50,18.489606
-50.0,50,22.220761
-50.0,50,25.932896
-50.0,50,29.688228
-50.0,50,33.81557
-50.0,50,37.673808
-50.0,50,41.455795
-50.0,50,45.328552
-50.0,50,49.289659
-50.0,50,53.403571
-50.0,50,57.178055
-50.0,50,61.033237
-50.0,50,64.793257
-50.0,50,68.673188
-50.0,50,72.475045
-50.0,50,76.191019
-50.0,50,80.003239
-50.0,50,83.781039
-50.0,50,87.494631
-50.0,50,91.267048
-50.0,50,94.984996
-50.0,50,98.701405
-50.0,50,102.470825
-50.0,50,106.174945
-50.0,50,109.940914
-50.0,50,113.918358
-50.0,50,117.673469
-50.0,50,121.352602
-50.0,50,124.866885
-50.0,50,128.794556
-50.0,50,132.479398
-50.0,50,136.101617
-50.0,50,139.715771
-50.0,50,143.426138
-50.0,50,147.051504
-50.0,50,150.740295
-50.0,50,154.426735
-50.0,50,158.096792
-50.0,50,161.774096
-50.0,50,165.324765
-50.0,50,169.104736
-50.0,50,172.718156
-50.0,50,176.35976
-50.0,50,179.948888
-50.0,50,183.601769
-50.0,50,187.132007
-50.0,50,190.634685
-50.0,50,194.446912
-50.0,50,194.94234
-50.0,50,195.450797
-50.0,50,195.962004
-50.0,50,196.4597
-50.0,50,196.959156
-50.0,50,197.488609
-50.0,50,197.995815
-50.0,50,198.520038
-50.0,50,199.01415
-50.0,50,199.721955
-50.0,50,203.389472
-50.0,50,207.076357
-50.0,50,210.768615
-50.0,50,214.493123
-50.0,50,218.181043
-50.0,50,221.883096
-50.0,50,225.524799
-50.0,50,229.263736
-50.0,50,232.940789
-50.0,50,236.629127
-50.0,50,240.047273
-50.0,50,243.901441
-50.0,50,247.274665
-50.0,50,251.947861
-50.0,50,256.057412
-50.0,50,260.093464
-50.0,50,263.865491
-50.0,50,267.668604
-50.0,50,271.47184
-50.0,50,275.274676
-50.0,50,279.029783
-50.0,50,282.895
-50.0,50,286.63111
-50.0,50,290.593692
-50.0,50,294.516707
-50.0,50,298.318417
-50.0,50,302.12589
-50.0,50,306.031068
-50.0,50,309.762351
-50.0,50,313.638147
-50.0,50,317.462111
-50.0,50,321.474022
-50.0,50,325.415511
-50.0,50,329.372046
-50.0,50,333.351784
-50.0,50,337.305248
-50.0,50,341.111893
-50.0,50,344.992792
-50.0,50,348.808493
-50.0,50,352.684384
-50.0,50,356.478786
-50.0,50,360.343314
-50.0,50,364.102384
-50.0,50,367.858855
-50.0,50,371.589368
-50.0,50,375.436093
-50.0,50,379.348689
-50.0,50,382.51088
-50.0,50,386.302829
-50.0,50,390.192398
-50.0,50,390.708472
-50.0,50,391.231769
-50.0,50,391.770081
-50.0,50,392.271942
-50.0,50,392.820172
-50.0,50,393.373459
-50.0,50,393.944671
-50.0,50,394.461459
-50.0,50,395.000375
-50.0,50,395.748235
-50.0,50,399.77514
-50.0,50,403.805401
-50.0,50,407.729594
-50.0,50,411.551222
-50.0,50,415.356472
-50.0,50,419.200576
-50.0,50,423.033544
-50.0,50,426.920447
-50.0,50,430.727414
-50.0,50,434.49905
-50.0,50,438.353555
-50.0,50,442.17614
-50.0,50,445.898247
-50.0,50,449.676465
-50.0,50,453.453712
-50.0,50,457.238595
-50.0,50,460.983731
-50.0,50,464.897576
-50.0,50,468.703018
-50.0,50,472.497433
-50.0,50,476.358189
-50.0,50,480.180729
-50.0,50,483.969859
-50.0,50,487.774506
-50.0,50,491.748356
-50.0,50,495.575256
-50.0,50,499.417271
-50.0,50,503.271064
-50.0,50,507.082449
-50.0,50,510.925735
-50.0,50,514.817456
-50.0,50,518.756766
-50.0,50,522.65961
-50.0,50,526.5686
-50.0,50,530.466922
-50.0,50,534.401549
-50.0,50,538.313546
-50.0,50,542.14756
-50.0,50,545.985868
-50.0,50,549.878371
-50.0,50,553.825041
-50.0,50,557.611996
-50.0,50,561.429913
-50.0,50,565.28775
-50.0,50,569.121981
-50.0,50,572.974013
-50.0,50,576.784602
-50.0,50,580.632999
-50.0,50,584.521648
-50.0,50,588.470372
-50.0,50,589.020041
-50.0,50,589.548344
-50.0,50,590.081183
-50.0,50,590.618732
-50.0,50,591.160351
-50.0,50,591.678264
-50.0,50,592.170286
-50.0,50,592.704152
-50.0,50,593.195515
-50.0,50,593.796272
-50.0,50,597.668934
-50.0,50,601.493192
-50.0,50,605.292947
-50.0,50,609.045024
-50.0,50,612.887382
-50.0,50,616.636151
-50.0,50,620.493191
-50.0,50,624.377448
-50.0,50,628.133574
-50.0,50,631.971061
-50.0,50,635.81284
-50.0,50,639.535698
-50.0,50,643.45819
-50.0,50,647.642612
-50.0,50,651.652713
-50.0,50,655.820665
-50.0,50,659.817352
-50.0,50,663.874079
-50.0,50,667.47295
-50.0,50,671.570912
-50.0,50,675.567432
-50.0,50,679.417938
-50.0,50,683.355773
-50.0,50,687.100705
-50.0,50,690.913956
-50.0,50,694.726985
-50.0,50,698.516959
-50.0,50,702.58165
-50.0,50,706.386177
-50.0,50,710.244295
-50.0,50,714.004064
-50.0,50,717.83275
-50.0,50,721.637338
-50.0,50,725.433872
-50.0,50,729.245409
-50.0,50,733.01724
-50.0,50,736.903497
-50.0,50,740.770312
-50.0,50,744.567924
-50.0,50,748.502808
-50.0,50,752.384619
-50.0,50,756.205842
-50.0,50,760.054848
-50.0,50,763.804341
-50.0,50,767.678302
-50.0,50,771.625282
