# {"env_id": "FetchTosscube-v1", "t_start": 1580946936.734555} 
r,l,t
-50.0,50,8.077301
-50.0,50,12.1874
-50.0,50,15.957894
-50.0,50,19.622277
-50.0,50,23.421106
-50.0,50,27.115287
-50.0,50,30.789398
-50.0,50,35.039208
-50.0,50,38.860718
-50.0,50,42.630284
-50.0,50,46.539831
-50.0,50,50.483602
-50.0,50,54.553695
-50.0,50,58.339453
-50.0,50,62.112064
-50.0,50,65.944592
-50.0,50,69.842637
-50.0,50,73.660439
-50.0,50,77.396163
-50.0,50,81.200461
-50.0,50,84.941378
-50.0,50,88.683089
-50.0,50,92.430528
-50.0,50,96.179346
-50.0,50,99.895508
-50.0,50,103.65198
-50.0,50,107.310552
-50.0,50,111.081563
-50.0,50,115.098911
-50.0,50,118.818769
-50.0,50,122.534787
-50.0,50,126.001607
-50.0,50,129.972657
-50.0,50,133.645317
-50.0,50,137.281613
-50.0,50,140.88042
-50.0,50,144.622535
-50.0,50,148.21569
-50.0,50,151.929388
-50.0,50,155.627717
-50.0,50,159.288732
-50.0,50,162.948284
-50.0,50,166.485296
-50.0,50,170.246358
-50.0,50,173.858912
-50.0,50,177.501222
-50.0,50,181.156874
-50.0,50,184.742701
-50.0,50,188.25761
-50.0,50,191.802802
-50.0,50,195.616707
-50.0,50,196.116236
-50.0,50,196.613987
-50.0,50,197.128868
-50.0,50,197.651361
-50.0,50,198.138225
-50.0,50,198.616153
-50.0,50,199.12943
-50.0,50,199.651389
-50.0,50,200.186051
-50.0,50,200.916224
-50.0,50,204.549131
-50.0,50,208.254123
-50.0,50,211.934386
-50.0,50,215.646391
-50.0,50,219.358168
-50.0,50,223.033768
-50.0,50,226.711181
-50.0,50,230.439445
-50.0,50,234.110434
-50.0,50,237.762605
-50.0,50,241.207804
-50.0,50,245.077235
-50.0,50,248.371767
-50.0,50,253.105613
-50.0,50,257.248419
-50.0,50,261.253657
-50.0,50,265.01782
-50.0,50,268.834203
-50.0,50,272.647533
-50.0,50,276.42993
-50.0,50,280.181725
-50.0,50,284.075673
-50.0,50,287.877966
-50.0,50,291.795734
-50.0,50,295.696494
-50.0,50,299.502811
-50.0,50,303.272079
-50.0,50,307.251864
-50.0,50,310.933568
-50.0,50,314.814212
-50.0,50,318.606277
-50.0,50,322.632864
-50.0,50,326.642377
-50.0,50,330.55323
-50.0,50,334.593266
-50.0,50,338.503554
-50.0,50,342.276094
-50.0,50,346.157511
-50.0,50,349.899624
-50.0,50,353.815805
-50.0,50,357.656992
-50.0,50,361.526586
-50.0,50,365.289435
-50.0,50,369.041496
-50.0,50,372.783946
-50.0,50,376.590527
-50.0,50,380.513996
-50.0,50,383.71749
-50.0,50,387.476706
-50.0,50,391.368691
-50.0,50,391.917753
-50.0,50,392.415854
-50.0,50,392.99313
-50.0,50,393.550094
-50.0,50,394.073572
-50.0,50,394.612946
-50.0,50,395.172704
-50.0,50,395.719714
-50.0,50,396.236679
-50.0,50,396.90103
-50.0,50,400.918629
-50.0,50,404.972736
-50.0,50,408.935783
-50.0,50,412.7073
-50.0,50,416.571273
-50.0,50,420.371338
-50.0,50,424.140538
-50.0,50,428.01789
-50.0,50,431.892407
-50.0,50,435.657497
-50.0,50,439.456526
-50.0,50,443.29142
-50.0,50,447.103316
-50.0,50,450.911437
-50.0,50,454.655908
-50.0,50,458.399752
-50.0,50,462.176328
-50.0,50,466.09394
-50.0,50,469.883318
-50.0,50,473.664515
-50.0,50,477.517511
-50.0,50,481.336389
-50.0,50,485.112291
-50.0,50,488.926337
-50.0,50,492.948142
-50.0,50,496.760692
-50.0,50,500.576961
-50.0,50,504.458282
-50.0,50,508.251576
-50.0,50,512.089348
-50.0,50,515.968463
-50.0,50,519.896766
-50.0,50,523.802355
-50.0,50,527.728426
-50.0,50,531.636877
-50.0,50,535.551183
-50.0,50,539.442863
-50.0,50,543.351242
-50.0,50,547.218534
-50.0,50,551.008156
-50.0,50,554.990126
-50.0,50,558.759558
-50.0,50,562.611259
-50.0,50,566.394277
-50.0,50,570.291478
-50.0,50,574.112229
-50.0,50,577.937475
-50.0,50,581.803316
-50.0,50,585.683206
-50.0,50,589.583032
-50.0,50,590.106568
-50.0,50,590.63194
-50.0,50,591.134821
-50.0,50,591.693446
-50.0,50,592.237436
-50.0,50,592.771869
-50.0,50,593.30722
-50.0,50,593.857322
-50.0,50,594.403841
-50.0,50,594.990987
-50.0,50,598.86278
-50.0,50,602.657274
-50.0,50,606.458277
-50.0,50,610.2538
