# {"t_start": 1580305578.0900428, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,8.323273
-50.0,50,11.273861
-50.0,50,13.91849
-50.0,50,16.519579
-50.0,50,19.169068
-50.0,50,21.75541
-50.0,50,24.357639
-50.0,50,26.961513
-50.0,50,29.626531
-50.0,50,32.359636
-50.0,50,35.123121
-50.0,50,37.811055
-50.0,50,40.794757
-50.0,50,43.750684
-50.0,50,46.531095
-50.0,50,49.102512
-50.0,50,51.710677
-50.0,50,54.284042
-50.0,50,56.930654
-50.0,50,59.482444
0.0,50,62.052276
-50.0,50,64.607846
-50.0,50,67.182762
-50.0,50,69.720881
-50.0,50,72.310233
-50.0,50,74.914397
-50.0,50,77.457223
-50.0,50,80.033951
-50.0,50,82.564143
-50.0,50,85.136022
-50.0,50,87.67884
-50.0,50,90.304272
-50.0,50,92.823976
-50.0,50,95.399547
-50.0,50,97.945203
-50.0,50,100.511683
-50.0,50,103.074163
-50.0,50,105.638224
-50.0,50,108.248985
-50.0,50,110.794537
-50.0,50,113.388286
-50.0,50,115.935905
-50.0,50,118.518964
-50.0,50,121.098288
-50.0,50,123.666631
-50.0,50,126.191236
-50.0,50,128.744474
-50.0,50,131.381449
-50.0,50,133.925782
-50.0,50,136.462816
0.0,50,139.038042
-50.0,50,139.428204
-50.0,50,139.835852
-50.0,50,140.230002
-50.0,50,140.650342
-50.0,50,141.047957
-50.0,50,141.477966
-50.0,50,141.881967
-50.0,50,142.295834
-50.0,50,142.686566
-50.0,50,143.245632
-50.0,50,145.75913
-50.0,50,148.318302
-50.0,50,150.936334
-50.0,50,153.437551
-50.0,50,156.006203
-50.0,50,158.572402
-50.0,50,161.150081
-50.0,50,163.72867
-50.0,50,166.290556
-50.0,50,168.858605
-50.0,50,171.391797
-50.0,50,173.986895
-50.0,50,176.54378
-50.0,50,179.103019
-50.0,50,181.646494
-50.0,50,184.224989
-50.0,50,186.782945
-50.0,50,189.344873
-50.0,50,191.864539
-49.0,50,194.509086
-50.0,50,197.062464
-50.0,50,199.637164
-50.0,50,202.182578
-50.0,50,204.758712
-50.0,50,207.302058
-50.0,50,209.848998
-50.0,50,212.448838
-50.0,50,215.019331
-50.0,50,217.598086
-50.0,50,220.153896
-50.0,50,222.7201
-50.0,50,225.286802
-50.0,50,227.869293
-50.0,50,230.405886
-50.0,50,233.001868
-50.0,50,235.536387
-50.0,50,238.070163
-50.0,50,240.617542
-50.0,50,243.178967
-50.0,50,245.751452
-50.0,50,248.292083
-50.0,50,250.883343
-50.0,50,253.426348
-50.0,50,256.015423
-50.0,50,258.520689
-50.0,50,261.099353
-50.0,50,263.695101
-50.0,50,266.234648
-50.0,50,268.860218
-50.0,50,271.436339
-50.0,50,271.848825
-50.0,50,272.22395
