# {"env_id": "FetchPickAndPlace-v1", "t_start": 1580305580.8188968} 
r,l,t
-50.0,50,5.670041
-50.0,50,8.535939
-50.0,50,11.152008
-50.0,50,13.823484
-50.0,50,16.45491
-50.0,50,19.021597
-50.0,50,21.65577
-50.0,50,24.216358
-50.0,50,26.876795
-50.0,50,29.625742
-50.0,50,32.424716
-50.0,50,35.106426
-50.0,50,38.062027
-50.0,50,41.005701
-50.0,50,43.806779
-50.0,50,46.375405
-50.0,50,48.954032
-49.0,50,51.501814
-50.0,50,54.145096
-50.0,50,56.751386
-50.0,50,59.339578
-50.0,50,61.87566
-50.0,50,64.433007
-50.0,50,67.021522
-50.0,50,69.571031
-50.0,50,72.126395
-50.0,50,74.695638
-50.0,50,77.289043
-50.0,50,79.815264
-50.0,50,82.409852
-50.0,50,85.000298
-50.0,50,87.571719
-50.0,50,90.096766
-50.0,50,92.631129
-50.0,50,95.216138
-50.0,50,97.779341
-50.0,50,100.348856
-50.0,50,102.940521
-50.0,50,105.521571
-50.0,50,108.091198
-50.0,50,110.653263
-50.0,50,113.197247
-50.0,50,115.757231
-50.0,50,118.36953
-50.0,50,120.8992
-50.0,50,123.481466
-50.0,50,126.040973
-50.0,50,128.601317
-50.0,50,131.212594
-50.0,50,133.727077
-50.0,50,136.298984
-50.0,50,136.684658
-50.0,50,137.115752
-50.0,50,137.538046
-50.0,50,137.948305
-50.0,50,138.350377
-50.0,50,138.756407
-50.0,50,139.151525
-50.0,50,139.587562
-50.0,50,140.000611
-50.0,50,140.495906
-50.0,50,143.076818
-50.0,50,145.6039
-11.0,50,148.205476
-50.0,50,150.728964
-50.0,50,153.287743
-50.0,50,155.819834
-50.0,50,158.408867
-50.0,50,161.004692
-50.0,50,163.570814
-50.0,50,166.136008
-50.0,50,168.661258
-50.0,50,171.274674
-50.0,50,173.805146
-50.0,50,176.36279
-50.0,50,178.919432
-50.0,50,181.456469
-23.0,50,184.064101
-50.0,50,186.641392
-50.0,50,189.200689
0.0,50,191.769406
-50.0,50,194.319692
-50.0,50,196.90834
0.0,50,199.439292
-50.0,50,202.05347
-50.0,50,204.55348
-50.0,50,207.148504
-50.0,50,209.726249
-50.0,50,212.310855
-50.0,50,214.87511
-50.0,50,217.439204
-50.0,50,220.023879
-50.0,50,222.588719
-50.0,50,225.132763
-50.0,50,227.685242
-50.0,50,230.246166
-50.0,50,232.827063
-50.0,50,235.349826
-50.0,50,237.915146
-50.0,50,240.448429
-50.0,50,243.020639
-50.0,50,245.577765
-50.0,50,248.132393
-50.0,50,250.721354
-50.0,50,253.287254
-50.0,50,255.842341
-50.0,50,258.388148
-50.0,50,260.974004
-50.0,50,263.48409
-50.0,50,266.095457
-50.0,50,268.65963
-50.0,50,269.075872
-50.0,50,269.497729
-50.0,50,269.93446
-50.0,50,270.376056
-50.0,50,270.759731
-50.0,50,271.190238
-50.0,50,271.578973
-50.0,50,271.974652
-50.0,50,272.38533
-50.0,50,272.865783
-50.0,50,275.42662
-50.0,50,277.986475
-50.0,50,280.598757
-50.0,50,283.152651
-50.0,50,285.672771
-50.0,50,288.266728
-50.0,50,290.844535
-50.0,50,293.401202
-50.0,50,295.904833
-50.0,50,298.458331
-50.0,50,301.030569
-50.0,50,303.586943
-50.0,50,306.199591
-50.0,50,308.729255
-50.0,50,311.287042
-50.0,50,313.820875
-50.0,50,316.400687
-50.0,50,318.926332
-50.0,50,321.527793
-50.0,50,324.069169
-50.0,50,326.638201
-50.0,50,329.19102
-50.0,50,331.74977
-50.0,50,334.327476
-50.0,50,336.896582
-50.0,50,339.474187
0.0,50,342.028135
-50.0,50,344.633732
-50.0,50,347.211247
-50.0,50,349.831204
-50.0,50,352.413415
-50.0,50,354.982972
-50.0,50,357.55253
-50.0,50,360.179637
-50.0,50,362.758968
-50.0,50,365.32517
-50.0,50,367.927405
-50.0,50,370.490978
-50.0,50,373.027043
-50.0,50,375.591513
-50.0,50,378.223675
-50.0,50,380.782368
-50.0,50,383.362061
-50.0,50,385.950394
-50.0,50,388.472406
-50.0,50,391.063792
-50.0,50,393.624306
-50.0,50,396.161086
-50.0,50,398.752611
