# {"t_start": 1580320413.6588163, "env_id": "FetchReach-v1"} 
r,l,t
-50.0,50,10.130825
-37.0,50,13.767391
-48.0,50,17.86316
-15.0,50,20.381779
-50.0,50,22.930797
-14.0,50,26.724624
-5.0,50,29.269137
-29.0,50,31.732226
-11.0,50,35.220026
-47.0,50,39.252061
-50.0,50,41.760272
-50.0,50,42.146109
-17.0,50,42.508586
-50.0,50,42.877388
-50.0,50,43.254106
-50.0,50,43.590951
-18.0,50,43.94369
-50.0,50,45.017428
-50.0,50,46.091059
-50.0,50,46.466415
-25.0,50,46.950065
-16.0,50,49.424608
-37.0,50,51.902964
-50.0,50,54.380647
-20.0,50,56.883075
-23.0,50,59.374983
-5.0,50,61.884254
-17.0,50,64.413338
-13.0,50,66.952822
-7.0,50,71.106207
-1.0,50,75.639366
-14.0,50,76.005038
-22.0,50,76.394494
-6.0,50,76.732009
0.0,50,77.090351
-50.0,50,77.456483
-14.0,50,77.807122
-1.0,50,78.184777
-11.0,50,78.549881
-5.0,50,79.740145
-8.0,50,81.346426
-50.0,50,84.572517
-13.0,50,87.989267
-50.0,50,90.920844
-10.0,50,93.417414
-18.0,50,96.07233
-3.0,50,100.815449
-16.0,50,103.287924
-13.0,50,105.805628
-19.0,50,108.34258
-12.0,50,113.300635
-39.0,50,113.705788
-15.0,50,114.068864
-5.0,50,114.416937
0.0,50,114.792866
-1.0,50,115.137801
-9.0,50,115.509582
-15.0,50,115.852768
-2.0,50,116.230837
-5.0,50,116.568734
-18.0,50,117.01804
-13.0,50,121.890281
-9.0,50,124.361706
-3.0,50,126.821856
-42.0,50,129.332179
-30.0,50,131.79563
-9.0,50,135.896557
-6.0,50,139.406187
-9.0,50,141.91466
-11.0,50,144.441262
-50.0,50,146.983721
-1.0,50,147.334689
-1.0,50,147.708296
-1.0,50,148.072803
-2.0,50,148.424466
-11.0,50,148.782047
-2.0,50,149.129713
0.0,50,149.507755
-2.0,50,149.918967
-11.0,50,150.278742
-20.0,50,150.734784
-9.0,50,154.42969
-12.0,50,157.042057
-16.0,50,159.560231
-7.0,50,162.194865
-20.0,50,164.664055
-16.0,50,167.217616
-25.0,50,172.257674
-13.0,50,174.794973
-15.0,50,179.016442
-2.0,50,182.315375
-11.0,50,182.72666
0.0,50,183.115574
-3.0,50,183.485738
-2.0,50,183.846093
-8.0,50,184.21633
0.0,50,184.900879
0.0,50,186.066027
-15.0,50,187.402224
0.0,50,188.514402
-14.0,50,189.002161
-6.0,50,191.579033
-8.0,50,194.08169
-50.0,50,196.578587
-8.0,50,201.245326
-11.0,50,204.06231
-13.0,50,209.092279
-15.0,50,211.697304
-15.0,50,214.169554
-11.0,50,217.891711
-2.0,50,220.394411
-1.0,50,220.728137
-3.0,50,221.105283
-2.0,50,221.470423
-2.0,50,221.866046
-2.0,50,222.222621
-3.0,50,222.633343
-1.0,50,222.995124
-2.0,50,223.370975
