# {"env_id": "FetchReach-v1", "t_start": 1580320412.420117} 
r,l,t
-50.0,50,11.314743
-50.0,50,15.11119
-37.0,50,19.140942
-9.0,50,21.659429
-6.0,50,24.168396
-50.0,50,27.979548
-50.0,50,30.502198
-50.0,50,32.979877
-50.0,50,36.512762
-5.0,50,40.484019
-32.0,50,43.03649
-7.0,50,43.396629
0.0,50,43.74172
-50.0,50,44.11024
0.0,50,44.497196
-21.0,50,44.864312
-2.0,50,45.330729
-17.0,50,46.54303
-50.0,50,47.381843
-7.0,50,47.75772
-5.0,50,48.17795
-45.0,50,50.668529
-50.0,50,53.153979
-11.0,50,55.62692
-50.0,50,58.111671
-1.0,50,60.605308
-3.0,50,63.153999
-50.0,50,65.675669
-7.0,50,68.191552
-17.0,50,72.440598
-50.0,50,76.888003
0.0,50,77.2483
0.0,50,77.592017
-8.0,50,77.932571
-14.0,50,78.29337
-6.0,50,78.653487
0.0,50,79.01774
-9.0,50,79.388117
-3.0,50,79.758613
-10.0,50,80.993082
-2.0,50,82.512661
-18.0,50,85.830746
-21.0,50,89.274072
-18.0,50,92.15578
-8.0,50,94.666137
-42.0,50,97.241589
-6.0,50,102.048068
-36.0,50,104.51321
-8.0,50,107.065211
-11.0,50,109.592511
-7.0,50,114.543575
0.0,50,114.912098
-4.0,50,115.279212
-17.0,50,115.603019
-1.0,50,115.953035
-7.0,50,116.337693
0.0,50,116.691338
0.0,50,117.048162
-13.0,50,117.429849
-3.0,50,117.824268
-4.0,50,118.24151
-20.0,50,123.100923
-8.0,50,125.576144
-3.0,50,128.066916
-16.0,50,130.585902
-12.0,50,133.041948
-34.0,50,137.004674
-6.0,50,140.63462
-8.0,50,143.132171
-16.0,50,145.689874
-8.0,50,148.231091
-2.0,50,148.573698
-7.0,50,148.952739
-3.0,50,149.325076
-6.0,50,149.691141
-4.0,50,150.068028
-2.0,50,150.440493
-8.0,50,150.82781
-39.0,50,151.190408
-2.0,50,151.53429
-4.0,50,151.977036
-50.0,50,155.706599
-12.0,50,158.27899
-17.0,50,160.796973
-9.0,50,163.429969
-19.0,50,165.913723
-22.0,50,168.449288
-14.0,50,173.524207
-15.0,50,176.010008
-16.0,50,180.270634
-9.0,50,183.547664
-2.0,50,183.929325
