# {"env_id": "FetchSlide-v1", "t_start": 1575548478.9641297} 
r,l,t
-50.0,50,8.732818
-50.0,50,14.62001
-50.0,50,20.504219
-50.0,50,24.346864
-50.0,50,29.325128
-50.0,50,33.235559
-50.0,50,38.670199
-50.0,50,42.217363
-50.0,50,46.570555
-50.0,50,49.826629
-50.0,50,54.746391
-50.0,50,57.41868
-50.0,50,61.231703
-50.0,50,64.158399
-50.0,50,66.836336
-50.0,50,69.409924
-50.0,50,74.540972
-50.0,50,77.302197
-50.0,50,82.20612
-50.0,50,85.163282
-50.0,50,89.704582
-50.0,50,93.116663
-50.0,50,95.89139
-50.0,50,100.528494
-50.0,50,104.180405
-50.0,50,108.412957
-50.0,50,112.904407
-50.0,50,118.617304
-50.0,50,123.941034
-50.0,50,127.286281
-50.0,50,131.847438
-50.0,50,135.880594
-50.0,50,141.391051
-50.0,50,144.063837
-50.0,50,147.866699
-50.0,50,151.017322
-50.0,50,154.997829
-50.0,50,160.447344
-50.0,50,163.169275
-50.0,50,165.965259
-50.0,50,171.129153
-50.0,50,173.815451
-50.0,50,176.549929
-50.0,50,181.900977
-50.0,50,184.795592
-50.0,50,189.970454
-50.0,50,192.665173
-50.0,50,195.28142
-50.0,50,201.420211
-50.0,50,204.393703
-50.0,50,207.079391
-50.0,50,207.518423
-50.0,50,207.952546
-50.0,50,208.405129
-50.0,50,208.841113
-50.0,50,209.286085
-50.0,50,209.771438
-50.0,50,211.124354
-50.0,50,212.170599
-50.0,50,212.64072
-50.0,50,213.18132
-50.0,50,216.022535
-50.0,50,221.217821
-50.0,50,223.89552
-50.0,50,229.035373
-50.0,50,231.788403
-50.0,50,234.525217
-50.0,50,237.178596
-50.0,50,239.835685
-50.0,50,244.903931
-50.0,50,247.59456
-50.0,50,250.221863
-50.0,50,254.092095
-50.0,50,256.798801
-50.0,50,259.579153
-50.0,50,264.575208
-50.0,50,267.261061
-50.0,50,272.352347
-50.0,50,275.024915
-50.0,50,277.687366
-50.0,50,280.415443
-50.0,50,284.328556
-50.0,50,288.705726
-50.0,50,293.398108
