# {"t_start": 1575548477.852223, "env_id": "FetchSlide-v1"} 
r,l,t
-50.0,50,9.842316
-50.0,50,15.877684
-50.0,50,21.348163
-50.0,50,25.459789
-50.0,50,30.45369
-50.0,50,34.368883
-50.0,50,39.759443
-50.0,50,43.289738
-50.0,50,47.705938
-50.0,50,50.999601
-50.0,50,55.840297
-50.0,50,58.53709
-50.0,50,62.501682
-50.0,50,65.256665
-50.0,50,67.942997
-50.0,50,70.525183
-50.0,50,75.72376
-50.0,50,78.418803
-50.0,50,83.288189
-50.0,50,86.266778
-50.0,50,90.793569
-50.0,50,94.214792
-50.0,50,96.986949
-50.0,50,101.498935
-50.0,50,105.248372
-50.0,50,109.544944
-50.0,50,114.120301
-50.0,50,119.763545
-50.0,50,124.936276
-50.0,50,128.404186
-50.0,50,133.009827
-50.0,50,137.012721
-50.0,50,142.469772
-50.0,50,145.179093
-50.0,50,149.195371
-50.0,50,152.123849
-50.0,50,156.164616
-50.0,50,161.542035
-50.0,50,164.257402
-50.0,50,167.114099
-50.0,50,172.268478
-50.0,50,174.906678
-50.0,50,177.657397
-50.0,50,182.992511
-50.0,50,186.060938
-50.0,50,191.076801
-50.0,50,193.766922
-50.0,50,196.398198
-50.0,50,202.574135
-50.0,50,205.484707
-50.0,50,208.2091
-50.0,50,208.587956
-50.0,50,208.987697
-50.0,50,209.46309
-50.0,50,209.880847
-50.0,50,210.325894
-50.0,50,210.733349
-50.0,50,211.682204
-50.0,50,213.105775
-50.0,50,213.620686
-50.0,50,214.267464
-50.0,50,217.170705
-50.0,50,222.309932
-50.0,50,225.01422
-50.0,50,230.199246
-50.0,50,232.940822
-50.0,50,235.643359
-50.0,50,238.25072
-50.0,50,240.954062
-50.0,50,246.010018
-50.0,50,248.683975
-50.0,50,251.323334
-50.0,50,255.178805
-50.0,50,257.868856
-50.0,50,260.831931
-50.0,50,265.689353
-50.0,50,268.427746
-50.0,50,273.395814
-50.0,50,276.109827
-50.0,50,278.807133
-50.0,50,281.450758
-50.0,50,285.349605
-50.0,50,289.792282
-50.0,50,294.385051
-50.0,50,298.496201
-50.0,50,304.761494
-50.0,50,310.723804
-50.0,50,314.591302
-50.0,50,320.615723
-50.0,50,324.269575
-50.0,50,331.587089
-50.0,50,336.694466
-50.0,50,341.387556
-50.0,50,348.696056
-50.0,50,353.653565
-50.0,50,358.404932
-50.0,50,363.093907
-50.0,50,366.501382
-50.0,50,373.867288
-50.0,50,378.884986
-50.0,50,383.833406
-50.0,50,389.868406
-50.0,50,395.735863
-50.0,50,399.704779
-50.0,50,405.757305
-50.0,50,409.335427
-50.0,50,416.679862
-50.0,50,421.857105
-50.0,50,426.563789
-50.0,50,432.211564
-50.0,50,435.029557
-50.0,50,436.567076
-50.0,50,438.043907
-50.0,50,439.042727
-50.0,50,439.481131
-50.0,50,439.945489
-50.0,50,440.340409
-50.0,50,440.775683
-50.0,50,441.19053
-50.0,50,441.599207
-50.0,50,442.234698
-50.0,50,446.062811
-50.0,50,448.763601
-50.0,50,451.504312
-50.0,50,454.140469
-50.0,50,460.436228
-50.0,50,463.03268
-50.0,50,466.887967
-50.0,50,469.544391
-50.0,50,472.190842
-50.0,50,474.782525
-50.0,50,479.860045
-50.0,50,482.42678
-50.0,50,487.680911
-50.0,50,490.276982
-50.0,50,495.495548
-50.0,50,498.335058
-50.0,50,503.15539
-50.0,50,506.233052
-50.0,50,510.14716
-50.0,50,514.900269
-50.0,50,519.937501
-50.0,50,526.078216
-50.0,50,530.973656
-50.0,50,535.419169
-50.0,50,540.912459
-50.0,50,547.005965
-50.0,50,552.439104
-50.0,50,556.804859
-50.0,50,562.948526
-50.0,50,569.13666
-50.0,50,572.761208
-50.0,50,578.954431
-50.0,50,584.023022
-50.0,50,590.070967
-50.0,50,596.269974
-50.0,50,599.960495
-50.0,50,606.516915
-50.0,50,609.856533
-50.0,50,614.439564
-50.0,50,617.981549
-50.0,50,622.412222
-50.0,50,625.966149
-50.0,50,628.615845
