# {"env_id": "FetchSlideball-v1", "t_start": 1576824209.266343} 
r,l,t
-50.0,50,6.625307
-50.0,50,9.065107
-50.0,50,11.442342
-50.0,50,13.852313
-50.0,50,16.52774
-50.0,50,18.983846
-50.0,50,21.273557
-50.0,50,23.594837
-50.0,50,25.911146
-50.0,50,28.193764
-50.0,50,30.516008
-50.0,50,32.775784
-50.0,50,35.081956
-50.0,50,37.409105
-50.0,50,39.743689
-50.0,50,42.056942
-50.0,50,44.33722
-50.0,50,46.72329
-50.0,50,49.094259
-50.0,50,51.49288
-50.0,50,53.838932
-50.0,50,56.213065
-50.0,50,58.64824
-50.0,50,61.054865
-50.0,50,63.339384
-50.0,50,65.691447
-50.0,50,67.998029
-50.0,50,70.312059
-50.0,50,73.879723
-50.0,50,77.27438
-50.0,50,79.927629
-48.0,50,82.621788
-50.0,50,85.273314
-50.0,50,87.919569
-50.0,50,90.591132
-50.0,50,93.221113
-50.0,50,95.910615
-50.0,50,98.575273
-50.0,50,101.234463
-50.0,50,103.941296
-50.0,50,106.575384
-50.0,50,109.271234
-50.0,50,111.935386
-50.0,50,114.620576
-50.0,50,117.314055
-50.0,50,119.984058
-50.0,50,122.66975
-50.0,50,125.316973
-50.0,50,127.990006
-50.0,50,130.656483
-50.0,50,133.406889
-50.0,50,133.83343
-50.0,50,134.270278
-50.0,50,134.713084
-50.0,50,135.155403
-50.0,50,135.604698
-50.0,50,136.049808
-50.0,50,136.511919
-50.0,50,136.935273
-50.0,50,137.404942
-50.0,50,137.943417
-50.0,50,140.648655
-50.0,50,143.33332
-50.0,50,146.057266
-50.0,50,148.808026
-50.0,50,151.499366
-50.0,50,154.268841
-50.0,50,156.898882
-47.0,50,159.580267
-50.0,50,162.291835
-50.0,50,164.948446
-50.0,50,167.607358
-50.0,50,170.267213
-50.0,50,173.036847
-50.0,50,175.662842
-50.0,50,178.351511
-50.0,50,181.053676
-50.0,50,183.778194
-50.0,50,186.438309
-50.0,50,189.129333
-50.0,50,191.731422
-50.0,50,194.439101
-50.0,50,197.176514
-50.0,50,199.965504
-50.0,50,202.612876
-50.0,50,205.308831
-50.0,50,207.949852
-50.0,50,210.543652
-50.0,50,213.180333
-50.0,50,215.846381
-50.0,50,218.548666
-50.0,50,221.226026
-50.0,50,223.889907
-50.0,50,226.607639
-50.0,50,229.232449
-50.0,50,231.93979
-50.0,50,234.610219
-50.0,50,237.319279
-50.0,50,239.952102
-50.0,50,242.571588
-50.0,50,245.198519
-50.0,50,247.890345
-50.0,50,250.547386
-50.0,50,253.257159
-50.0,50,255.845331
-50.0,50,258.494657
-50.0,50,261.184032
-50.0,50,263.92541
-50.0,50,266.610974
-50.0,50,269.285204
-50.0,50,271.93681
-50.0,50,272.392417
-50.0,50,272.831239
-50.0,50,273.260644
-50.0,50,273.730151
-50.0,50,274.161544
-50.0,50,274.577473
-50.0,50,274.974912
-50.0,50,275.383981
-50.0,50,275.78652
-50.0,50,276.266709
-50.0,50,278.971769
-50.0,50,281.587994
-50.0,50,284.245367
-50.0,50,286.915175
-50.0,50,289.628888
-50.0,50,292.312379
-50.0,50,294.948717
-50.0,50,297.653814
-50.0,50,300.28081
-50.0,50,302.970503
-50.0,50,305.607037
-50.0,50,308.264606
-50.0,50,311.020655
-50.0,50,313.845191
-50.0,50,316.548609
-50.0,50,319.355739
-50.0,50,322.063471
-50.0,50,324.671576
-50.0,50,327.448798
-50.0,50,330.225355
-50.0,50,332.978375
-50.0,50,335.653113
-50.0,50,338.466081
-50.0,50,341.171008
-50.0,50,343.890269
-50.0,50,346.56577
-50.0,50,349.360978
-50.0,50,352.103441
-50.0,50,354.819814
-50.0,50,357.450895
-50.0,50,360.131018
-50.0,50,362.829706
-50.0,50,365.506057
-50.0,50,368.221781
-50.0,50,370.873809
-50.0,50,373.519287
-50.0,50,376.19348
-50.0,50,378.935428
-50.0,50,381.575506
-50.0,50,384.238919
-50.0,50,386.921497
-50.0,50,389.638043
-50.0,50,392.287281
-50.0,50,394.982692
-50.0,50,397.608128
-50.0,50,400.304777
-50.0,50,402.969511
-50.0,50,405.621547
-50.0,50,408.232558
-50.0,50,410.937753
-50.0,50,411.36782
-50.0,50,411.760193
-50.0,50,412.210733
-50.0,50,412.637364
-50.0,50,413.070598
-50.0,50,413.500336
-50.0,50,413.910481
-50.0,50,414.363826
-50.0,50,414.807143
-50.0,50,415.292143
-50.0,50,417.958621
-50.0,50,420.637928
-50.0,50,423.324775
-50.0,50,425.958736
-50.0,50,428.593653
-50.0,50,431.264512
-50.0,50,433.915872
-50.0,50,436.573393
-50.0,50,439.262438
-50.0,50,441.935873
-24.0,50,444.637964
-50.0,50,447.248035
-50.0,50,449.946368
-50.0,50,452.6272
-50.0,50,455.268696
-50.0,50,458.061922
-50.0,50,460.721837
-50.0,50,463.403779
-50.0,50,466.035856
-50.0,50,468.698922
-50.0,50,471.314075
-50.0,50,473.95143
-50.0,50,476.643535
-50.0,50,479.266186
-50.0,50,481.998529
-50.0,50,484.713302
-50.0,50,487.4639
-50.0,50,490.224784
-50.0,50,493.171954
-50.0,50,495.904361
-50.0,50,498.648611
-50.0,50,501.348759
-50.0,50,504.104778
-50.0,50,506.907156
-50.0,50,509.713227
-50.0,50,512.636734
-50.0,50,515.377922
-50.0,50,518.119551
-50.0,50,520.838822
-50.0,50,523.530574
-50.0,50,526.266905
-50.0,50,529.000696
-50.0,50,531.775933
-50.0,50,534.482149
-50.0,50,537.297437
-50.0,50,540.148564
-50.0,50,542.908195
-50.0,50,545.582129
-50.0,50,548.325382
-50.0,50,551.102649
-50.0,50,551.535784
-50.0,50,552.059948
-50.0,50,552.597372
-50.0,50,553.014993
-50.0,50,553.43993
-50.0,50,553.882297
-50.0,50,554.281706
-50.0,50,554.719237
-50.0,50,555.209262
-50.0,50,555.712005
-50.0,50,558.393705
-50.0,50,561.056525
-50.0,50,563.766353
-50.0,50,566.466112
-50.0,50,569.34687
-50.0,50,572.117328
-50.0,50,574.803736
-50.0,50,577.473444
-50.0,50,580.140121
-50.0,50,583.044321
-50.0,50,586.312976
-50.0,50,589.553193
-50.0,50,592.363298
-50.0,50,595.068318
-50.0,50,597.773244
-50.0,50,600.579506
-50.0,50,603.246154
-50.0,50,606.058016
-49.0,50,608.691323
-50.0,50,611.451724
-50.0,50,614.148399
-50.0,50,616.815789
-50.0,50,619.520164
-50.0,50,622.314594
-50.0,50,625.03611
-50.0,50,627.767146
-50.0,50,630.610998
-46.0,50,633.384138
-50.0,50,636.074653
-50.0,50,638.820275
-50.0,50,641.627137
-50.0,50,644.409089
-50.0,50,647.079225
-50.0,50,649.759039
-50.0,50,652.454034
-50.0,50,655.186215
-50.0,50,657.951035
-47.0,50,660.847812
-50.0,50,663.604622
-50.0,50,666.423409
-50.0,50,669.144344
-50.0,50,671.914292
-50.0,50,674.840193
-50.0,50,677.560446
-50.0,50,680.226882
-50.0,50,682.996667
-50.0,50,685.75242
-47.0,50,688.593154
-50.0,50,691.333335
-50.0,50,694.143997
-13.0,50,694.599663
-50.0,50,695.070053
-50.0,50,695.515706
-50.0,50,695.991205
-50.0,50,696.484175
-50.0,50,696.912518
-50.0,50,697.410945
-50.0,50,697.885474
-50.0,50,698.312205
-50.0,50,698.871595
-50.0,50,701.521982
-50.0,50,704.21588
-50.0,50,706.937223
-50.0,50,709.73755
-50.0,50,712.484007
-50.0,50,715.225785
-50.0,50,717.97486
-50.0,50,720.627689
-46.0,50,723.338639
-50.0,50,726.022077
-50.0,50,728.941165
-50.0,50,731.807116
-50.0,50,734.589265
-50.0,50,737.314401
-50.0,50,739.999218
-50.0,50,742.767447
-50.0,50,745.508353
-50.0,50,748.234657
-50.0,50,750.894109
-50.0,50,753.618533
-50.0,50,756.367635
-50.0,50,759.219882
-50.0,50,762.023665
-50.0,50,764.823852
-14.0,50,767.527879
-50.0,50,770.408799
-50.0,50,773.098603
-50.0,50,776.009258
-50.0,50,778.7902
-50.0,50,781.511529
-50.0,50,784.220613
-42.0,50,787.004101
-50.0,50,789.82317
-50.0,50,792.678457
-50.0,50,795.498588
-50.0,50,798.314687
-15.0,50,800.985892
-50.0,50,803.865061
-50.0,50,806.584269
-50.0,50,809.35282
-47.0,50,812.074857
-50.0,50,814.744774
-50.0,50,817.467729
-50.0,50,820.171925
-50.0,50,822.97082
-50.0,50,825.736227
-50.0,50,828.458868
-46.0,50,831.217065
-18.0,50,833.910491
-50.0,50,836.721837
-50.0,50,837.155698
-50.0,50,837.580483
-50.0,50,838.035102
-50.0,50,838.554362
-50.0,50,839.01872
-50.0,50,839.452828
-50.0,50,839.928617
-50.0,50,840.377266
-50.0,50,840.859648
-50.0,50,841.352708
-45.0,50,844.066544
-47.0,50,846.840237
-50.0,50,849.520701
-50.0,50,852.151188
-50.0,50,854.855511
-50.0,50,857.567455
-50.0,50,860.280438
-50.0,50,862.999709
-50.0,50,865.70871
-49.0,50,868.406348
-50.0,50,871.182054
-50.0,50,873.773227
-50.0,50,876.597588
-50.0,50,879.300268
-50.0,50,882.038027
-50.0,50,884.741539
-47.0,50,887.505898
-50.0,50,890.273062
-50.0,50,893.053621
-50.0,50,895.757303
-50.0,50,898.472048
-50.0,50,901.318167
-50.0,50,904.113094
-50.0,50,907.004523
-50.0,50,909.77536
-50.0,50,912.488672
-50.0,50,915.394443
-50.0,50,918.25813
-50.0,50,921.079812
-50.0,50,923.776823
-50.0,50,926.560022
-50.0,50,929.253417
-50.0,50,931.972328
-45.0,50,934.67231
-50.0,50,937.455386
-50.0,50,940.31889
-50.0,50,943.06267
-50.0,50,945.761561
-50.0,50,948.526332
-50.0,50,951.234289
-50.0,50,954.013422
-50.0,50,956.759514
-50.0,50,959.700868
-50.0,50,962.460214
-50.0,50,965.183652
-50.0,50,967.905288
-50.0,50,970.616249
-44.0,50,973.322019
-50.0,50,976.169235
-50.0,50,979.045306
-50.0,50,979.545795
-50.0,50,980.074278
-50.0,50,980.497908
-50.0,50,980.981592
-50.0,50,981.502279
-50.0,50,981.986634
-50.0,50,982.518507
-43.0,50,983.022631
-25.0,50,983.497914
-50.0,50,983.95187
-45.0,50,986.685379
-40.0,50,989.387496
-50.0,50,992.059735
-50.0,50,994.75761
-50.0,50,997.559514
-50.0,50,1000.282832
-50.0,50,1002.989997
-50.0,50,1005.699378
-46.0,50,1008.335232
-50.0,50,1011.025778
-45.0,50,1013.716059
-50.0,50,1016.323196
-50.0,50,1018.977661
-50.0,50,1021.702538
-43.0,50,1024.327897
-46.0,50,1026.994013
-50.0,50,1029.624238
-50.0,50,1032.295251
-50.0,50,1035.015427
-49.0,50,1037.677148
-50.0,50,1040.34816
-46.0,50,1043.050018
-43.0,50,1045.762302
-50.0,50,1048.417996
-50.0,50,1051.093814
-50.0,50,1053.738808
-50.0,50,1056.496565
-50.0,50,1059.195432
-50.0,50,1061.859632
-50.0,50,1064.524218
-50.0,50,1067.221768
-50.0,50,1069.859998
-50.0,50,1072.588531
-49.0,50,1075.34465
-50.0,50,1077.965888
-50.0,50,1080.651355
-50.0,50,1083.42043
-50.0,50,1086.07822
-20.0,50,1088.737588
-50.0,50,1091.422295
-50.0,50,1094.138978
-50.0,50,1096.810108
-50.0,50,1099.481926
-50.0,50,1102.187843
-50.0,50,1104.855078
-50.0,50,1107.520309
-50.0,50,1110.187558
-50.0,50,1112.921923
-50.0,50,1115.57125
-48.0,50,1118.291083
-40.0,50,1118.778118
-50.0,50,1119.260468
-50.0,50,1119.74072
-47.0,50,1120.211024
-50.0,50,1120.69708
-46.0,50,1121.134763
-50.0,50,1121.558575
-50.0,50,1122.042097
-50.0,50,1122.526346
-50.0,50,1123.117372
-50.0,50,1125.803242
-50.0,50,1128.437684
-50.0,50,1131.164939
-50.0,50,1133.786646
-50.0,50,1136.467937
-50.0,50,1139.143995
-50.0,50,1141.811361
-48.0,50,1144.553771
-50.0,50,1147.264914
-50.0,50,1149.931776
-50.0,50,1152.613725
-11.0,50,1155.269973
-50.0,50,1157.954468
-50.0,50,1160.631667
-50.0,50,1163.307329
-44.0,50,1166.006336
-50.0,50,1168.661962
-50.0,50,1171.370036
-44.0,50,1174.159743
-50.0,50,1176.984362
-44.0,50,1179.737074
-50.0,50,1182.505427
-50.0,50,1185.130331
-35.0,50,1187.858565
-50.0,50,1190.537018
-50.0,50,1193.209746
-50.0,50,1196.127367
-50.0,50,1198.972316
-50.0,50,1201.720844
-50.0,50,1204.487533
-50.0,50,1207.130475
-28.0,50,1209.872447
-50.0,50,1212.617918
-50.0,50,1215.342433
-50.0,50,1218.081362
-50.0,50,1220.862305
-50.0,50,1223.603715
-50.0,50,1226.480944
-50.0,50,1229.220454
-50.0,50,1231.894994
-21.0,50,1234.611893
-49.0,50,1237.307361
-40.0,50,1240.024401
-48.0,50,1242.658329
-50.0,50,1245.306676
-50.0,50,1248.037046
-46.0,50,1250.765556
-50.0,50,1253.493607
-48.0,50,1256.129401
-50.0,50,1258.777491
-50.0,50,1259.272336
-50.0,50,1259.788193
-46.0,50,1260.27938
-50.0,50,1260.839582
-50.0,50,1261.322487
-50.0,50,1261.820927
-50.0,50,1262.353702
-50.0,50,1262.807523
-41.0,50,1263.247756
-50.0,50,1263.676286
-50.0,50,1266.356511
-49.0,50,1269.044804
-50.0,50,1271.798704
-50.0,50,1274.495787
-50.0,50,1277.131721
-45.0,50,1279.849183
-50.0,50,1282.563022
-50.0,50,1285.234709
-50.0,50,1287.911165
-45.0,50,1290.566795
-50.0,50,1293.233089
-43.0,50,1295.902155
-50.0,50,1298.551384
-21.0,50,1301.314479
-45.0,50,1304.028789
-50.0,50,1306.729095
-50.0,50,1309.434172
-15.0,50,1312.11025
-37.0,50,1314.725348
-50.0,50,1317.471801
-50.0,50,1320.1593
-50.0,50,1322.831622
-50.0,50,1325.500259
-50.0,50,1328.208335
-47.0,50,1330.923233
-45.0,50,1333.635329
-43.0,50,1336.371817
-50.0,50,1338.978886
-50.0,50,1341.715228
-50.0,50,1344.343896
