# {"t_start": 1576824209.7782023, "env_id": "FetchSlideball-v1"} 
r,l,t
-50.0,50,6.096693
-50.0,50,8.625274
-50.0,50,10.933648
-50.0,50,13.345212
-50.0,50,16.075182
-50.0,50,18.482028
-50.0,50,20.738277
-50.0,50,23.065807
-50.0,50,25.39616
-50.0,50,27.667142
-50.0,50,29.982967
-50.0,50,32.300167
-50.0,50,34.56968
-50.0,50,36.915745
-50.0,50,39.201319
-50.0,50,41.53035
-50.0,50,43.855027
-50.0,50,46.17107
-50.0,50,48.59068
-50.0,50,50.978546
-50.0,50,53.342383
-50.0,50,55.698023
-50.0,50,58.143322
-50.0,50,60.516106
-50.0,50,62.857802
-50.0,50,65.146168
-50.0,50,67.501441
-50.0,50,69.805707
-50.0,50,73.19452
-50.0,50,76.729485
-50.0,50,79.424796
-50.0,50,82.080228
-50.0,50,84.774502
-50.0,50,87.434863
-50.0,50,90.031086
-50.0,50,92.729669
-50.0,50,95.338904
-50.0,50,98.06694
-50.0,50,100.69321
-50.0,50,103.371307
-50.0,50,106.067375
-50.0,50,108.785867
-50.0,50,111.429986
-50.0,50,114.112964
-50.0,50,116.777625
-50.0,50,119.471272
-50.0,50,122.131169
-50.0,50,124.793082
-50.0,50,127.455812
-50.0,50,130.149043
-50.0,50,132.88111
-50.0,50,133.269114
-50.0,50,133.663165
-50.0,50,134.053499
-50.0,50,134.494249
-50.0,50,134.976868
-50.0,50,135.415148
-50.0,50,135.857769
-50.0,50,136.277196
-50.0,50,136.719021
-50.0,50,137.438798
-50.0,50,140.110689
-50.0,50,142.830903
-50.0,50,145.591822
-50.0,50,148.310318
-50.0,50,151.006881
-50.0,50,153.722084
-50.0,50,156.393944
-50.0,50,159.097631
-50.0,50,161.784686
-50.0,50,164.425125
-50.0,50,167.142594
-50.0,50,169.770773
-50.0,50,172.510196
-50.0,50,175.178702
-50.0,50,177.871684
-50.0,50,180.549056
-50.0,50,183.268449
-50.0,50,185.95047
-50.0,50,188.614522
-50.0,50,191.2656
-50.0,50,193.934645
-50.0,50,196.640485
-50.0,50,199.45089
-50.0,50,202.117741
-50.0,50,204.775914
-50.0,50,207.457572
-50.0,50,210.010959
-50.0,50,212.671973
-50.0,50,215.320722
-50.0,50,218.004014
-50.0,50,220.698967
-50.0,50,223.407083
-50.0,50,226.090868
-50.0,50,228.732447
-50.0,50,231.419965
-50.0,50,234.105199
-50.0,50,236.787064
-50.0,50,239.431216
-50.0,50,242.00394
-50.0,50,244.731034
-50.0,50,247.352468
-50.0,50,250.049456
-50.0,50,252.751842
-50.0,50,255.328707
-50.0,50,257.9804
-50.0,50,260.688253
-50.0,50,263.419991
-50.0,50,266.128586
-50.0,50,268.76898
-50.0,50,271.478171
-50.0,50,271.932328
-50.0,50,272.365938
-50.0,50,272.78138
-50.0,50,273.209233
-50.0,50,273.637514
-50.0,50,274.058944
-50.0,50,274.515236
-50.0,50,274.920192
-50.0,50,275.291977
-50.0,50,275.792554
-50.0,50,278.440917
-50.0,50,281.06936
-50.0,50,283.707235
-50.0,50,286.432131
-50.0,50,289.13759
-50.0,50,291.799689
-50.0,50,294.466774
-50.0,50,297.10167
-50.0,50,299.784899
-50.0,50,302.480456
-50.0,50,305.109118
-50.0,50,307.809553
-50.0,50,310.457257
-50.0,50,313.332202
-50.0,50,316.042179
-50.0,50,318.824774
-50.0,50,321.493126
-50.0,50,324.186119
-50.0,50,326.954184
-50.0,50,329.758942
-50.0,50,332.449101
-50.0,50,335.131399
-50.0,50,337.933012
-50.0,50,340.658573
-50.0,50,343.365028
-50.0,50,346.031286
-50.0,50,348.854712
-50.0,50,351.553204
-50.0,50,354.277465
-50.0,50,356.952057
-50.0,50,359.63902
-50.0,50,362.302858
-50.0,50,364.993555
-50.0,50,367.695954
-50.0,50,370.346951
-50.0,50,373.02734
-50.0,50,375.701394
-50.0,50,378.360421
-50.0,50,381.056954
-50.0,50,383.726384
-50.0,50,386.450707
-50.0,50,389.124855
-50.0,50,391.744493
-50.0,50,394.432509
-50.0,50,397.093409
-50.0,50,399.765921
-50.0,50,402.440006
-50.0,50,405.127741
-50.0,50,407.730627
-50.0,50,410.402267
-50.0,50,410.792263
-15.0,50,411.25495
-50.0,50,411.695221
-50.0,50,412.085934
-50.0,50,412.536691
-50.0,50,412.955884
-50.0,50,413.361985
-50.0,50,413.770403
-50.0,50,414.195164
-50.0,50,414.76111
-50.0,50,417.451287
-50.0,50,420.118296
-50.0,50,422.787659
-48.0,50,425.462736
-50.0,50,428.04666
-50.0,50,430.736223
-50.0,50,433.378283
-50.0,50,436.015016
-50.0,50,438.794384
-50.0,50,441.439393
-50.0,50,444.113089
-50.0,50,446.743039
-50.0,50,449.435155
-50.0,50,452.124445
-50.0,50,454.752254
-50.0,50,457.51959
-42.0,50,460.199888
-50.0,50,462.891041
-50.0,50,465.518681
-50.0,50,468.210092
-48.0,50,470.817974
-50.0,50,473.45352
-50.0,50,476.148975
-50.0,50,478.752053
-50.0,50,481.464801
-50.0,50,484.159596
-50.0,50,486.938854
-50.0,50,489.713828
-50.0,50,492.677468
-50.0,50,495.409364
-50.0,50,498.162228
-50.0,50,500.854914
-50.0,50,503.615358
-50.0,50,506.361064
-50.0,50,509.226109
-50.0,50,512.112175
-50.0,50,514.841373
-50.0,50,517.590836
-50.0,50,520.310769
-50.0,50,522.983156
-50.0,50,525.750999
-50.0,50,528.51654
-50.0,50,531.278698
-50.0,50,534.01486
-50.0,50,536.781959
-50.0,50,539.670265
-50.0,50,542.374609
-50.0,50,545.083964
-50.0,50,547.847893
-50.0,50,550.559456
-50.0,50,551.008466
-50.0,50,551.469302
-50.0,50,551.95259
-50.0,50,552.402756
-50.0,50,552.837695
-50.0,50,553.256723
-50.0,50,553.714101
-50.0,50,554.170077
-50.0,50,554.660304
-50.0,50,555.2269
-50.0,50,557.884081
-50.0,50,560.547633
-50.0,50,563.229855
-50.0,50,565.943871
-50.0,50,568.845978
-50.0,50,571.589978
-50.0,50,574.292191
-50.0,50,577.019872
-50.0,50,579.646996
-50.0,50,582.47513
-50.0,50,585.854463
-50.0,50,589.025599
-50.0,50,591.859768
-50.0,50,594.549271
-50.0,50,597.267169
-50.0,50,600.057639
-50.0,50,602.73901
-50.0,50,605.514102
-50.0,50,608.193959
-50.0,50,610.934924
-50.0,50,613.645584
-50.0,50,616.286012
-50.0,50,619.011941
-50.0,50,621.803772
-50.0,50,624.545813
-50.0,50,627.282745
-50.0,50,630.149963
-50.0,50,632.922528
-50.0,50,635.590703
-50.0,50,638.306791
-50.0,50,641.105184
-50.0,50,643.880553
-50.0,50,646.604607
-50.0,50,649.264421
-50.0,50,651.959767
-48.0,50,654.63088
-50.0,50,657.42953
-50.0,50,660.363942
-50.0,50,663.080674
-50.0,50,665.927593
-50.0,50,668.634113
-50.0,50,671.399411
-50.0,50,674.319089
-50.0,50,677.056037
-50.0,50,679.696379
-50.0,50,682.518331
-50.0,50,685.24399
-50.0,50,688.063647
-50.0,50,690.793385
-50.0,50,693.564477
-50.0,50,693.989558
-50.0,50,694.442659
-50.0,50,694.894582
-50.0,50,695.324376
-50.0,50,695.783743
-50.0,50,696.199697
-50.0,50,696.760044
-50.0,50,697.247565
-50.0,50,697.739071
-50.0,50,698.327061
-50.0,50,700.995324
-45.0,50,703.698953
-50.0,50,706.412325
-50.0,50,709.18091
-50.0,50,712.0083
-50.0,50,714.725548
-50.0,50,717.477635
-50.0,50,720.108641
-50.0,50,722.833951
-50.0,50,725.482493
-50.0,50,728.419122
-50.0,50,731.314062
-50.0,50,734.081357
-50.0,50,736.773031
-50.0,50,739.506958
-50.0,50,742.255824
-50.0,50,744.966028
-50.0,50,747.702759
-50.0,50,750.33112
-50.0,50,753.090498
-50.0,50,755.888784
-50.0,50,758.721148
-50.0,50,761.490044
-50.0,50,764.298004
-50.0,50,767.025611
-50.0,50,769.908681
-44.0,50,772.576018
-50.0,50,775.482549
-50.0,50,778.278481
-50.0,50,781.027832
-50.0,50,783.731416
-5.0,50,786.499365
-50.0,50,789.364503
-50.0,50,792.166172
-50.0,50,794.987768
-50.0,50,797.783852
-50.0,50,800.483435
-50.0,50,803.332596
-50.0,50,806.102221
-50.0,50,808.848085
-50.0,50,811.548761
-50.0,50,814.226539
-50.0,50,816.945863
-47.0,50,819.667526
-50.0,50,822.481338
-48.0,50,825.214316
-50.0,50,827.958391
-50.0,50,830.663028
-47.0,50,833.410927
-50.0,50,836.159576
-50.0,50,836.618233
-50.0,50,837.057163
-15.0,50,837.504032
-50.0,50,838.001977
-50.0,50,838.46979
-50.0,50,838.973564
-50.0,50,839.461605
-50.0,50,839.943393
-50.0,50,840.420063
-50.0,50,840.884118
-50.0,50,843.566489
-50.0,50,846.276502
-50.0,50,848.986277
-50.0,50,851.640355
-50.0,50,854.35212
-50.0,50,857.046367
-50.0,50,859.778148
-50.0,50,862.523369
-50.0,50,865.225868
-50.0,50,867.873211
-50.0,50,870.61981
-50.0,50,873.267321
-50.0,50,876.064988
-50.0,50,878.786332
-50.0,50,881.534158
-50.0,50,884.242681
-50.0,50,887.036215
-50.0,50,889.775017
-50.0,50,892.479938
-50.0,50,895.244439
-50.0,50,897.95188
-24.0,50,900.805897
-50.0,50,903.579426
-50.0,50,906.527461
-50.0,50,909.278042
-50.0,50,911.988374
-50.0,50,914.891251
-50.0,50,917.720431
-16.0,50,920.526293
-46.0,50,923.313912
-50.0,50,926.011639
-50.0,50,928.712517
-50.0,50,931.499037
-50.0,50,934.161097
-50.0,50,936.993332
-50.0,50,939.807303
-50.0,50,942.551547
-50.0,50,945.235454
-50.0,50,948.014047
-50.0,50,950.741586
-50.0,50,953.519475
-50.0,50,956.25712
-46.0,50,959.210409
-50.0,50,961.887683
-47.0,50,964.671313
-50.0,50,967.387553
-50.0,50,970.08688
-50.0,50,972.847672
-50.0,50,975.596435
-50.0,50,978.514286
-50.0,50,978.990556
-50.0,50,979.441894
-50.0,50,979.924828
-50.0,50,980.420946
-50.0,50,980.915498
-50.0,50,981.380844
-50.0,50,981.887741
-50.0,50,982.385798
-50.0,50,982.871485
-50.0,50,983.435172
-50.0,50,986.16312
-28.0,50,988.895809
-50.0,50,991.564165
-50.0,50,994.264567
-47.0,50,997.076355
-50.0,50,999.777477
-50.0,50,1002.474394
-50.0,50,1005.176829
-50.0,50,1007.860456
-50.0,50,1010.522011
-50.0,50,1013.181315
-50.0,50,1015.834267
-50.0,50,1018.486843
