# {"env_id": "FetchSlideball-v2", "t_start": 1576834337.0161452} 
r,l,t
-50.0,50,10.703068
-50.0,50,14.047859
-50.0,50,18.990171
-50.0,50,21.595357
-50.0,50,24.250432
-50.0,50,26.90105
-50.0,50,30.823642
-50.0,50,34.608383
-50.0,50,37.232573
-50.0,50,39.801645
-50.0,50,43.493443
-50.0,50,46.530632
-50.0,50,50.451953
-50.0,50,53.061374
-50.0,50,55.670709
-50.0,50,59.959933
-50.0,50,63.413857
-50.0,50,66.040545
-50.0,50,69.882996
-50.0,50,72.550581
-50.0,50,75.179396
-50.0,50,77.754156
-50.0,50,80.466814
-50.0,50,83.641734
-50.0,50,88.127801
-50.0,50,90.81989
-50.0,50,93.433435
-50.0,50,96.064594
-50.0,50,102.347471
-50.0,50,104.948236
-50.0,50,107.542935
-50.0,50,111.880009
-50.0,50,114.550364
-50.0,50,119.481259
-50.0,50,122.047961
-50.0,50,126.54287
-50.0,50,129.78808
-50.0,50,132.409097
-50.0,50,135.065186
-50.0,50,137.68655
-50.0,50,142.731136
-50.0,50,145.504783
-50.0,50,149.970286
-50.0,50,153.260671
-50.0,50,157.037971
-50.0,50,159.73856
-50.0,50,164.771475
-50.0,50,167.397521
-50.0,50,172.332165
-50.0,50,175.131616
-50.0,50,179.006721
-50.0,50,179.439641
-50.0,50,179.879678
-50.0,50,180.292851
-50.0,50,180.763525
-50.0,50,181.201261
-50.0,50,181.618891
-50.0,50,182.032913
-50.0,50,182.476429
-50.0,50,182.931048
-50.0,50,183.584345
-50.0,50,188.563657
-50.0,50,191.145914
-50.0,50,193.743493
-50.0,50,198.781095
-50.0,50,201.452436
-50.0,50,204.076461
-50.0,50,206.66408
-50.0,50,209.29968
-50.0,50,213.118099
-50.0,50,217.102071
-50.0,50,219.694321
-50.0,50,223.805293
-50.0,50,227.517197
-50.0,50,232.297624
-50.0,50,235.248294
-50.0,50,239.165859
-50.0,50,241.777557
-50.0,50,246.657554
-50.0,50,249.582904
-50.0,50,252.282579
-50.0,50,257.216649
-50.0,50,259.854089
-50.0,50,262.521916
-50.0,50,266.298924
-50.0,50,268.919713
-50.0,50,271.510426
-50.0,50,276.524322
-50.0,50,279.085506
-50.0,50,281.625536
-50.0,50,284.22034
-50.0,50,289.902615
-50.0,50,293.128679
-50.0,50,295.79863
-50.0,50,298.441491
-50.0,50,301.084743
-50.0,50,306.192259
-50.0,50,308.856693
-50.0,50,311.484129
-50.0,50,314.058188
-50.0,50,319.016802
-50.0,50,321.666254
-50.0,50,324.297036
-50.0,50,327.292704
-50.0,50,330.826562
-50.0,50,333.443178
-50.0,50,336.044484
-50.0,50,340.010764
-50.0,50,343.823073
-50.0,50,346.472119
-50.0,50,350.386708
-50.0,50,350.836036
-50.0,50,351.253278
-50.0,50,351.691495
-50.0,50,352.147666
-50.0,50,352.571829
-50.0,50,353.065088
-50.0,50,353.480005
-50.0,50,353.919441
-50.0,50,354.370327
-50.0,50,354.932496
-50.0,50,359.870999
-50.0,50,362.58362
-50.0,50,365.169799
