# {"t_start": 1576834338.1131017, "env_id": "FetchSlideball-v2"} 
r,l,t
-50.0,50,9.661081
-50.0,50,12.923343
-50.0,50,17.906784
-50.0,50,20.552113
-50.0,50,23.14067
-50.0,50,25.810397
-50.0,50,29.590841
-50.0,50,33.51032
-50.0,50,36.098099
-50.0,50,38.739181
-50.0,50,42.434692
-50.0,50,45.439569
-50.0,50,49.348047
-50.0,50,52.013273
-50.0,50,54.604889
-50.0,50,58.852243
-50.0,50,62.336685
-50.0,50,64.949852
-50.0,50,68.770446
-50.0,50,71.493124
-50.0,50,74.093296
-50.0,50,76.698192
-50.0,50,79.352573
-50.0,50,82.467584
-50.0,50,87.063756
-50.0,50,89.72027
-50.0,50,92.372419
-50.0,50,94.941718
-50.0,50,101.255362
-50.0,50,103.855472
-50.0,50,106.439451
-50.0,50,110.80459
-50.0,50,113.414308
-50.0,50,118.368165
-50.0,50,120.982456
-50.0,50,125.306934
-50.0,50,128.68416
-50.0,50,131.313732
-50.0,50,133.963465
-50.0,50,136.572975
-50.0,50,141.548654
-50.0,50,144.375978
-50.0,50,148.92459
-50.0,50,152.180737
-50.0,50,155.929125
-50.0,50,158.699698
-50.0,50,163.698437
-50.0,50,166.304239
-50.0,50,171.350855
-50.0,50,174.067699
-50.0,50,177.944352
-50.0,50,178.416892
-50.0,50,178.871028
-50.0,50,179.277075
-50.0,50,179.714849
-50.0,50,180.155521
-50.0,50,180.609892
-50.0,50,181.05065
-50.0,50,181.468956
-50.0,50,181.90663
-50.0,50,182.48289
-50.0,50,187.452151
-50.0,50,190.035904
-50.0,50,192.642208
-50.0,50,197.691017
-50.0,50,200.344515
-50.0,50,202.944492
-50.0,50,205.594346
-50.0,50,208.198126
-50.0,50,211.958072
-50.0,50,215.998901
-50.0,50,218.640217
-50.0,50,222.74285
-50.0,50,226.376571
-50.0,50,231.369183
-50.0,50,234.171599
-50.0,50,238.076775
-50.0,50,240.727506
-50.0,50,245.667102
-50.0,50,248.478433
-50.0,50,251.146172
-50.0,50,256.138548
-50.0,50,258.71688
-50.0,50,261.416053
-50.0,50,265.207836
-50.0,50,267.804858
-50.0,50,270.404399
-50.0,50,275.408637
-50.0,50,277.974559
-50.0,50,280.528651
-50.0,50,283.122822
-50.0,50,288.85055
-50.0,50,292.047966
-50.0,50,294.722417
-50.0,50,297.332552
-50.0,50,299.944388
-50.0,50,305.093261
-50.0,50,307.768009
-50.0,50,310.384932
-50.0,50,312.9795
-50.0,50,317.921336
-50.0,50,320.557754
-50.0,50,323.20815
-50.0,50,326.314291
-50.0,50,329.698997
-50.0,50,332.374706
-50.0,50,334.965076
-50.0,50,338.943444
-50.0,50,342.713643
-50.0,50,345.354403
-50.0,50,349.285738
-50.0,50,349.722218
-50.0,50,350.162706
-50.0,50,350.622848
-50.0,50,351.086313
-50.0,50,351.516714
-50.0,50,351.980109
-50.0,50,352.447954
-50.0,50,352.910718
-50.0,50,353.366733
-50.0,50,353.842161
-50.0,50,358.833818
-50.0,50,361.439691
-50.0,50,364.06023
-50.0,50,366.728076
-50.0,50,370.668417
-50.0,50,373.311348
-50.0,50,376.217374
-50.0,50,380.933509
